probe,mnemonic,count
probe_async_copy,IMAD.WIDE,13
probe_async_copy,ISETP.GE.AND,1
probe_async_copy,ISETP.GE.U32.AND,1
probe_async_copy,ISETP.NE.AND,3
probe_async_copy,LDGDEPBAR,8
probe_async_copy,LDGSTS.E,7
probe_async_copy,LDGSTS.E.BYPASS.128,1
probe_async_copy,LDS,7
probe_async_copy,LDS.128,1
probe_async_copy,LOP3.LUT,2
probe_async_copy,MOV,7
probe_async_copy,NOP,33
probe_async_copy,S2R,3
probe_async_copy,SHF.L.U32,4
probe_async_copy,STG.E,8
probe_async_copy,UIADD3,2
probe_async_copy,ULDC.64,3
probe_async_copy,ULOP3.LUT,2
probe_async_copy,UMOV,2
probe_async_copy,USHF.L.U32,2
probe_atomic_throughput,ATOMS.POPC.INC.32,128
probe_atomic_throughput,BAR.SYNC.DEFER_BLOCKING,4
probe_atomic_throughput,BRA,9
probe_atomic_throughput,EXIT,8
probe_atomic_throughput,IADD3,8
probe_atomic_throughput,IMAD,4
probe_atomic_throughput,IMAD.MOV.U32,19
probe_atomic_throughput,IMAD.WIDE,3
probe_atomic_throughput,IMAD.WIDE.U32,3
probe_atomic_throughput,ISETP.EQ.U32.AND,2
probe_atomic_throughput,ISETP.GT.U32.AND,1
probe_atomic_throughput,ISETP.NE.AND,9
probe_atomic_throughput,LDS,2
probe_atomic_throughput,LOP3.LUT,1
probe_atomic_throughput,MOV,11
probe_atomic_throughput,NOP,81
probe_atomic_throughput,POPC,2
probe_atomic_throughput,RED.E.ADD.F32.FTZ.RN.STRONG.GPU,320
probe_atomic_throughput,RED.E.ADD.STRONG.GPU,128
probe_atomic_throughput,S2R,13
probe_atomic_throughput,SHF.R.U32.HI,2
probe_atomic_throughput,STG.E,2
probe_atomic_throughput,UFLO.U32,2
probe_atomic_throughput,ULDC.64,8
probe_atomic_throughput,VOTEU.ANY,2
probe_bcd_decimal,BRA,2
probe_bcd_decimal,BSSY,1
probe_bcd_decimal,BSYNC,1
probe_bcd_decimal,CS2R,2
probe_bcd_decimal,EXIT,2
probe_bcd_decimal,IADD3,14
probe_bcd_decimal,IMAD,16
probe_bcd_decimal,IMAD.IADD,2
probe_bcd_decimal,IMAD.MOV.U32,11
probe_bcd_decimal,IMAD.SHL.U32,6
probe_bcd_decimal,IMAD.U32,1
probe_bcd_decimal,IMAD.WIDE,3
probe_bcd_decimal,IMAD.WIDE.U32,8
probe_bcd_decimal,IMAD.X,1
probe_bcd_decimal,ISETP.GE.AND,3
probe_bcd_decimal,ISETP.GT.U32.AND,15
probe_bcd_decimal,ISETP.GT.U32.OR,8
probe_bcd_decimal,ISETP.NE.AND,3
probe_bcd_decimal,ISETP.NE.U32.AND,6
probe_bcd_decimal,LDG.E,2
probe_bcd_decimal,LDG.E.STRONG.SYS,2
probe_bcd_decimal,LEA,1
probe_bcd_decimal,LEA.HI.X,1
probe_bcd_decimal,LOP3.LUT,37
probe_bcd_decimal,NOP,24
probe_bcd_decimal,PRMT,1
probe_bcd_decimal,S2R,3
probe_bcd_decimal,SEL,8
probe_bcd_decimal,SHF.R.S32.HI,1
probe_bcd_decimal,SHF.R.U32.HI,21
probe_bcd_decimal,STG.E,2
probe_bcd_decimal,STG.E.64.STRONG.SYS,2
probe_bcd_decimal,STG.E.STRONG.SYS,1
probe_bcd_decimal,ULDC.64,2
probe_bf16_arithmetic,BRA,5
probe_bf16_arithmetic,EXIT,5
probe_bf16_arithmetic,F2FP.BF16.F32.PACK_AB,2
probe_bf16_arithmetic,FADD.FTZ,19
probe_bf16_arithmetic,HFMA2.BF16_V2,7
probe_bf16_arithmetic,IADD3,2
probe_bf16_arithmetic,IMAD,1
probe_bf16_arithmetic,IMAD.MOV.U32,8
probe_bf16_arithmetic,IMAD.WIDE,27
probe_bf16_arithmetic,ISETP.GE.AND,1
probe_bf16_arithmetic,ISETP.NE.AND,2
probe_bf16_arithmetic,LDG.E,3
probe_bf16_arithmetic,LDG.E.CONSTANT,2
probe_bf16_arithmetic,LDG.E.U16,19
probe_bf16_arithmetic,LEA,3
probe_bf16_arithmetic,LEA.HI.X,2
probe_bf16_arithmetic,MOV,8
probe_bf16_arithmetic,NOP,65
probe_bf16_arithmetic,PRMT,22
probe_bf16_arithmetic,S2R,6
probe_bf16_arithmetic,SHF.R.S32.HI,2
probe_bf16_arithmetic,STG.E,5
probe_bf16_arithmetic,ULDC.64,5
probe_bignum_bigfloat,BRA,6
probe_bignum_bigfloat,CS2R,12
probe_bignum_bigfloat,DADD,36
probe_bignum_bigfloat,EXIT,6
probe_bignum_bigfloat,IADD3,43
probe_bignum_bigfloat,IADD3.X,3
probe_bignum_bigfloat,IMAD.MOV.U32,91
probe_bignum_bigfloat,IMAD.X,34
probe_bignum_bigfloat,ISETP.GE.U32.AND,22
probe_bignum_bigfloat,ISETP.GE.U32.AND.EX,22
probe_bignum_bigfloat,ISETP.NE.AND,12
probe_bignum_bigfloat,ISETP.NE.AND.EX,4
probe_bignum_bigfloat,ISETP.NE.U32.AND,4
probe_bignum_bigfloat,LDG.E.64.STRONG.SYS,36
probe_bignum_bigfloat,MOV,11
probe_bignum_bigfloat,NOP,72
probe_bignum_bigfloat,S2R,6
probe_bignum_bigfloat,SEL,26
probe_bignum_bigfloat,STG.E.64.STRONG.SYS,48
probe_bignum_bigfloat,ULDC.64,6
probe_bit_manipulation,BRA,7
probe_bit_manipulation,BREV,3
probe_bit_manipulation,CS2R,2
probe_bit_manipulation,EXIT,7
probe_bit_manipulation,FLO.U32,1
probe_bit_manipulation,FLO.U32.SH,1
probe_bit_manipulation,IADD3,5
probe_bit_manipulation,IADD3.X,1
probe_bit_manipulation,IMAD,1
probe_bit_manipulation,IMAD.MOV.U32,12
probe_bit_manipulation,IMAD.WIDE,15
probe_bit_manipulation,ISETP.NE.AND,3
probe_bit_manipulation,LDG.E,5
probe_bit_manipulation,LDG.E.U16,1
probe_bit_manipulation,LDG.E.U8,2
probe_bit_manipulation,LEA,2
probe_bit_manipulation,LEA.HI.X,2
probe_bit_manipulation,LOP3.LUT,2
probe_bit_manipulation,MOV,13
probe_bit_manipulation,NOP,80
probe_bit_manipulation,POPC,1
probe_bit_manipulation,PRMT,5
probe_bit_manipulation,S2R,7
probe_bit_manipulation,SHF.L.W.U32,1
probe_bit_manipulation,SHF.R.S32.HI,2
probe_bit_manipulation,STG.E,15
probe_bit_manipulation,STG.E.64,2
probe_bit_manipulation,ULDC.64,7
probe_bitwise,BRA,5
probe_bitwise,BREV,1
probe_bitwise,EXIT,5
probe_bitwise,FLO.U32,2
probe_bitwise,FLO.U32.SH,1
probe_bitwise,IADD3,4
probe_bitwise,IMAD.MOV.U32,8
probe_bitwise,IMAD.WIDE,15
probe_bitwise,LDG.E,10
probe_bitwise,LOP3.LUT,12
probe_bitwise,MOV,2
probe_bitwise,NOP,62
probe_bitwise,POPC,1
probe_bitwise,PRMT,9
probe_bitwise,S2R,5
probe_bitwise,SHF.L.U32.HI,1
probe_bitwise,SHF.L.W.U32.HI,3
probe_bitwise,SHF.R.U32,1
probe_bitwise,SHF.R.W.U32,3
probe_bitwise,STG.E,5
probe_bitwise,ULDC.64,5
probe_cache_policy,BRA,4
probe_cache_policy,EXIT,4
probe_cache_policy,FADD.FTZ,1
probe_cache_policy,FFMA.FTZ,1
probe_cache_policy,IMAD,4
probe_cache_policy,IMAD.WIDE,11
probe_cache_policy,ISETP.GE.AND,1
probe_cache_policy,LDG.E,2
probe_cache_policy,LDG.E.CONSTANT,6
probe_cache_policy,MOV,10
probe_cache_policy,NOP,37
probe_cache_policy,S2R,8
probe_cache_policy,SHF.L.U32,1
probe_cache_policy,STG.E,2
probe_cache_policy,STG.E.128,1
probe_cache_policy,STG.E.EF,6
probe_cache_policy,ULDC.64,4
probe_coalescing_patterns,BRA,3
probe_coalescing_patterns,EXIT,3
probe_coalescing_patterns,F2I.FTZ.U32.TRUNC.NTZ,2
probe_coalescing_patterns,FADD.FTZ,1
probe_coalescing_patterns,I2FP.F32.S32,2
probe_coalescing_patterns,I2F.RP,1
probe_coalescing_patterns,I2F.U32.RP,1
probe_coalescing_patterns,IABS,2
probe_coalescing_patterns,IADD3,4
probe_coalescing_patterns,IMAD,10
probe_coalescing_patterns,IMAD.HI.U32,4
probe_coalescing_patterns,IMAD.MOV,3
probe_coalescing_patterns,IMAD.MOV.U32,5
probe_coalescing_patterns,IMAD.WIDE,3
probe_coalescing_patterns,IMAD.WIDE.U32,1
probe_coalescing_patterns,ISETP.GE.AND,2
probe_coalescing_patterns,ISETP.GE.U32.AND,2
probe_coalescing_patterns,ISETP.GT.U32.AND,2
probe_coalescing_patterns,ISETP.NE.AND,2
probe_coalescing_patterns,ISETP.NE.U32.AND,1
probe_coalescing_patterns,LDG.E,1
probe_coalescing_patterns,LOP3.LUT,1
probe_coalescing_patterns,MOV,6
probe_coalescing_patterns,MUFU.RCP,2
probe_coalescing_patterns,NOP,35
probe_coalescing_patterns,S2R,6
probe_coalescing_patterns,SEL,1
probe_coalescing_patterns,STG.E,3
probe_coalescing_patterns,ULDC.64,3
probe_constant_memory,BRA,4
probe_constant_memory,EXIT,4
probe_constant_memory,FADD.FTZ,20
probe_constant_memory,FFMA.FTZ,60
probe_constant_memory,FMUL.FTZ,58
probe_constant_memory,I2FP.F32.S32,38
probe_constant_memory,IADD3,2
probe_constant_memory,IMAD,5
probe_constant_memory,IMAD.HI,1
probe_constant_memory,IMAD.IADD,1
probe_constant_memory,IMAD.MOV.U32,2
probe_constant_memory,IMAD.WIDE,25
probe_constant_memory,IMAD.WIDE.U32,2
probe_constant_memory,ISETP.GE.AND,3
probe_constant_memory,ISETP.NE.AND,1
probe_constant_memory,LDC,2
probe_constant_memory,LDG.E,4
probe_constant_memory,LEA,1
probe_constant_memory,LEA.HI,1
probe_constant_memory,LEA.HI.SX32,1
probe_constant_memory,LOP3.LUT,1
probe_constant_memory,MOV,11
probe_constant_memory,NOP,40
probe_constant_memory,S2R,7
probe_constant_memory,SHF.L.U32,2
probe_constant_memory,SHF.R.U32.HI,2
probe_constant_memory,STG.E,22
probe_constant_memory,ULDC.64,4
probe_control_flow,BPT.TRAP,1
probe_control_flow,BRA,8
probe_control_flow,BRA.CONV,3
probe_control_flow,BSSY,2
probe_control_flow,BSYNC,2
probe_control_flow,CALL.REL.NOINC,3
probe_control_flow,EXIT,6
probe_control_flow,FADD.FTZ,3
probe_control_flow,FMUL.FTZ,1
probe_control_flow,FSEL,1
probe_control_flow,FSETP.GT.FTZ.AND,2
probe_control_flow,IADD3,6
probe_control_flow,IMAD.IADD,101
probe_control_flow,IMAD.MOV.U32,10
probe_control_flow,IMAD.SHL.U32,98
probe_control_flow,IMAD.WIDE,9
probe_control_flow,ISETP.GE.AND,3
probe_control_flow,ISETP.GT.AND,99
probe_control_flow,LDG.E,6
probe_control_flow,LEA,3
probe_control_flow,LEA.HI.X,3
probe_control_flow,LOP3.LUT,98
probe_control_flow,MOV,11
probe_control_flow,NOP,88
probe_control_flow,RET.REL.NODEC,1
probe_control_flow,S2R,6
probe_control_flow,SHFL.BFLY,6
probe_control_flow,SHFL.DOWN,1
probe_control_flow,SHFL.IDX,1
probe_control_flow,SHFL.UP,1
probe_control_flow,SHF.R.S32.HI,3
probe_control_flow,STG.E,6
probe_control_flow,ULDC.64,6
probe_control_flow,UMOV,2
probe_control_flow,WARPSYNC,1
probe_convergence_barriers,BRA,9
probe_convergence_barriers,BRX,1
probe_convergence_barriers,BSSY,4
probe_convergence_barriers,BSYNC,4
probe_convergence_barriers,EXIT,7
probe_convergence_barriers,FADD.FTZ,102
probe_convergence_barriers,FFMA.FTZ,20
probe_convergence_barriers,FMUL.FTZ,102
probe_convergence_barriers,FSEL,2
probe_convergence_barriers,FSETP.GEU.FTZ.AND,1
probe_convergence_barriers,FSETP.GT.FTZ.AND,109
probe_convergence_barriers,I2FP.F32.S32,10
probe_convergence_barriers,IADD3,10
probe_convergence_barriers,IMAD,1
probe_convergence_barriers,IMAD.IADD,1
probe_convergence_barriers,IMAD.MOV.U32,9
probe_convergence_barriers,IMAD.SHL.U32,1
probe_convergence_barriers,IMAD.WIDE,10
probe_convergence_barriers,IMNMX.U32,1
probe_convergence_barriers,ISETP.GE.AND,3
probe_convergence_barriers,ISETP.GT.AND,1
probe_convergence_barriers,ISETP.LT.U32.AND,1
probe_convergence_barriers,ISETP.NE.AND,2
probe_convergence_barriers,ISETP.NE.U32.AND,1
probe_convergence_barriers,LDC,1
probe_convergence_barriers,LDG.E,7
probe_convergence_barriers,LEA,3
probe_convergence_barriers,LEA.HI,1
probe_convergence_barriers,LEA.HI.X,3
probe_convergence_barriers,LOP3.LUT,2
probe_convergence_barriers,MOV,9
probe_convergence_barriers,NOP,78
probe_convergence_barriers,PLOP3.LUT,1
probe_convergence_barriers,S2R,6
probe_convergence_barriers,SHF.R.S32.HI,5
probe_convergence_barriers,STG.E,7
probe_convergence_barriers,ULDC.64,6
probe_conversions,BRA,5
probe_conversions,DADD,2
probe_conversions,DFMA,1
probe_conversions,DSETP.GEU.AND,1
probe_conversions,EXIT,5
probe_conversions,F2F.F16.F32.RM,1
probe_conversions,F2F.F16.F32.RP,1
probe_conversions,F2F.F32.F64,1
probe_conversions,F2F.F64.F32,2
probe_conversions,F2FP.F16.F32.PACK_AB,1
probe_conversions,F2FP.F16.F32.PACK_AB.RZ,1
probe_conversions,F2I.FTZ.CEIL.NTZ,1
probe_conversions,F2I.FTZ.FLOOR.NTZ,1
probe_conversions,F2I.FTZ.NTZ,1
probe_conversions,F2I.FTZ.TRUNC.NTZ,1
probe_conversions,F2I.FTZ.U32.NTZ,1
probe_conversions,F2I.FTZ.U32.TRUNC.NTZ,1
probe_conversions,FADD.FTZ,8
probe_conversions,FMUL.FTZ,2
probe_conversions,HADD2.F32,4
probe_conversions,I2FP.F32.S32,1
probe_conversions,I2FP.F32.S32.RZ,1
probe_conversions,I2FP.F32.U32,1
probe_conversions,I2F.RM,1
probe_conversions,I2F.RP,1
probe_conversions,IADD3,4
probe_conversions,IMAD.IADD,1
probe_conversions,IMAD.MOV.U32,2
probe_conversions,IMAD.WIDE,11
probe_conversions,LDG.E,4
probe_conversions,LDG.E.64,1
probe_conversions,LDG.E.U16,1
probe_conversions,LDG.E.U8,1
probe_conversions,LEA,1
probe_conversions,LEA.HI.X.SX32,1
probe_conversions,MOV,10
probe_conversions,NOP,59
probe_conversions,PRMT,2
probe_conversions,S2R,5
probe_conversions,STG.E,4
probe_conversions,STG.E.64,1
probe_conversions,ULDC.64,5
probe_cooperative_launch,BAR.SYNC,6
probe_cooperative_launch,BAR.SYNC.DEFER_BLOCKING,2
probe_cooperative_launch,BPT.TRAP,1
probe_cooperative_launch,BRA,15
probe_cooperative_launch,BRA.CONV,4
probe_cooperative_launch,BREV,1
probe_cooperative_launch,BSSY,3
probe_cooperative_launch,BSYNC,3
probe_cooperative_launch,CALL.REL.NOINC,7
probe_cooperative_launch,CCTL.IVALL,2
probe_cooperative_launch,ERRBAR,2
probe_cooperative_launch,EXIT,6
probe_cooperative_launch,F2I.FTZ.U32.TRUNC.NTZ,1
probe_cooperative_launch,FADD.FTZ,12
probe_cooperative_launch,FFMA.FTZ,1
probe_cooperative_launch,FLO.U32,2
probe_cooperative_launch,FMUL.FTZ,1
probe_cooperative_launch,FSETP.GT.FTZ.AND,1
probe_cooperative_launch,I2F.U32.RP,1
probe_cooperative_launch,IADD3,9
probe_cooperative_launch,IMAD,20
probe_cooperative_launch,IMAD.HI.U32,2
probe_cooperative_launch,IMAD.IADD,4
probe_cooperative_launch,IMAD.MOV,3
probe_cooperative_launch,IMAD.MOV.U32,32
probe_cooperative_launch,IMAD.WIDE,10
probe_cooperative_launch,ISETP.EQ.AND,1
probe_cooperative_launch,ISETP.EQ.U32.AND,2
probe_cooperative_launch,ISETP.GE.AND,8
probe_cooperative_launch,ISETP.GE.OR,1
probe_cooperative_launch,ISETP.GE.U32.AND,3
probe_cooperative_launch,ISETP.GT.AND,3
probe_cooperative_launch,ISETP.LT.AND,1
probe_cooperative_launch,ISETP.LT.U32.AND,5
probe_cooperative_launch,ISETP.NE.AND,5
probe_cooperative_launch,ISETP.NE.AND.EX,1
probe_cooperative_launch,ISETP.NE.U32.AND,2
probe_cooperative_launch,LD.E.STRONG.GPU,2
probe_cooperative_launch,LDG.E,8
probe_cooperative_launch,LDS,3
probe_cooperative_launch,LEA.HI,2
probe_cooperative_launch,LOP3.LUT,15
probe_cooperative_launch,MATCH.ANY,3
probe_cooperative_launch,MEMBAR.ALL.GPU,2
probe_cooperative_launch,MOV,18
probe_cooperative_launch,MUFU.RCP,1
probe_cooperative_launch,NOP,71
probe_cooperative_launch,PLOP3.LUT,2
probe_cooperative_launch,POPC,7
probe_cooperative_launch,PRMT,2
probe_cooperative_launch,RED.E.ADD.F32.FTZ.RN.STRONG.GPU,1
probe_cooperative_launch,REDUX.OR,3
probe_cooperative_launch,RET.REL.NODEC,2
probe_cooperative_launch,S2R,31
probe_cooperative_launch,SEL,4
probe_cooperative_launch,SGXT.U32,4
probe_cooperative_launch,SHFL.BFLY,9
probe_cooperative_launch,SHFL.DOWN,1
probe_cooperative_launch,SHFL.IDX,3
probe_cooperative_launch,SHF.L.U32,6
probe_cooperative_launch,SHF.R.S32.HI,4
probe_cooperative_launch,SHF.R.U32.HI,3
probe_cooperative_launch,STG.E,6
probe_cooperative_launch,STS,2
probe_cooperative_launch,UIMAD,2
probe_cooperative_launch,ULDC,1
probe_cooperative_launch,ULDC.64,7
probe_cooperative_launch,UPOPC,2
probe_cooperative_launch,VOTE.ANY,1
probe_cooperative_launch,VOTEU.ANY,5
probe_cooperative_launch,WARPSYNC,2
probe_cooperative_launch,YIELD,3
probe_encoding_verify,BRA,5
probe_encoding_verify,EXIT,5
probe_encoding_verify,FFMA,1
probe_encoding_verify,FFMA.RM,1
probe_encoding_verify,FFMA.RP,1
probe_encoding_verify,FFMA.RZ,1
probe_encoding_verify,FSET.BF.GT.FTZ.AND,1
probe_encoding_verify,FSETP.GT.FTZ.AND,5
probe_encoding_verify,FSETP.GTU.FTZ.AND,1
probe_encoding_verify,IADD3,7
probe_encoding_verify,IMAD.MOV.U32,11
probe_encoding_verify,IMAD.WIDE.U32,3
probe_encoding_verify,LDG.E,8
probe_encoding_verify,LOP3.LUT,8
probe_encoding_verify,MOV,9
probe_encoding_verify,NOP,59
probe_encoding_verify,S2R,2
probe_encoding_verify,STG.E,37
probe_encoding_verify,ULDC.64,5
probe_fixed_point,BRA,4
probe_fixed_point,CS2R,6
probe_fixed_point,EXIT,4
probe_fixed_point,IADD3,513
probe_fixed_point,IADD3.X,2
probe_fixed_point,IMAD,1537
probe_fixed_point,IMAD.IADD,5
probe_fixed_point,IMAD.MOV.U32,9
probe_fixed_point,IMAD.SHL.U32,256
probe_fixed_point,IMAD.WIDE,8
probe_fixed_point,IMAD.WIDE.U32,513
probe_fixed_point,IMAD.X,1
probe_fixed_point,ISETP.GE.AND,1
probe_fixed_point,ISETP.NE.AND,3
probe_fixed_point,LDG.E,3
probe_fixed_point,LDG.E.STRONG.SYS,4
probe_fixed_point,LDG.E.U16.STRONG.SYS,2
probe_fixed_point,LEA,1
probe_fixed_point,MOV,15
probe_fixed_point,NOP,42
probe_fixed_point,PRMT,2
probe_fixed_point,S2R,5
probe_fixed_point,SHF.L.U32,255
probe_fixed_point,SHF.L.U64.HI,512
probe_fixed_point,SHF.R.S32.HI,1025
probe_fixed_point,SHF.R.U32.HI,1
probe_fixed_point,SHF.R.U64,5
probe_fixed_point,STG.E,1
probe_fixed_point,STG.E.64.STRONG.SYS,6
probe_fixed_point,STG.E.STRONG.SYS,2
probe_fixed_point,STG.E.U16.STRONG.SYS,1
probe_fixed_point,ULDC.64,4
probe_fp8_precision,BRA,5
probe_fp8_precision,EXIT,5
probe_fp8_precision,F2FP.F16.E4M3.UNPACK_B,24
probe_fp8_precision,F2FP.F16.E5M2.UNPACK_B,1
probe_fp8_precision,F2FP.SATFINITE.E4M3.F32.PACK_AB_MERGE_C,20
probe_fp8_precision,F2FP.SATFINITE.E5M2.F32.PACK_AB_MERGE_C,1
probe_fp8_precision,FADD.FTZ,22
probe_fp8_precision,HADD2.F32,25
probe_fp8_precision,IADD3,2
probe_fp8_precision,IMAD.MOV.U32,7
probe_fp8_precision,IMAD.WIDE,8
probe_fp8_precision,LDG.E,22
probe_fp8_precision,LDG.E.U8,19
probe_fp8_precision,LEA.HI.X.SX32,2
probe_fp8_precision,LOP3.LUT,2
probe_fp8_precision,MOV,3
probe_fp8_precision,NOP,59
probe_fp8_precision,PRMT,4
probe_fp8_precision,S2R,5
probe_fp8_precision,STG.E,4
probe_fp8_precision,STG.E.U8,19
probe_fp8_precision,ULDC.64,5
probe_fp16_half2,BRA,5
probe_fp16_half2,EXIT,5
probe_fp16_half2,F2FP.F16.F32.PACK_AB,2
probe_fp16_half2,FADD.FTZ,1
probe_fp16_half2,HADD2,9
probe_fp16_half2,HADD2.F32,2
probe_fp16_half2,HFMA2,3
probe_fp16_half2,HMNMX2,2
probe_fp16_half2,IADD3,3
probe_fp16_half2,IMAD.MOV.U32,7
probe_fp16_half2,IMAD.WIDE,13
probe_fp16_half2,ISETP.NE.AND,2
probe_fp16_half2,LDG.E,6
probe_fp16_half2,LDG.E.CONSTANT,4
probe_fp16_half2,LEA,2
probe_fp16_half2,LEA.HI.X,2
probe_fp16_half2,MOV,6
probe_fp16_half2,NOP,72
probe_fp16_half2,PRMT,1
probe_fp16_half2,S2R,5
probe_fp16_half2,SHF.L.U32,1
probe_fp16_half2,SHF.R.S32.HI,2
probe_fp16_half2,STG.E,6
probe_fp16_half2,ULDC.64,5
probe_fp32_arith,BRA,6
probe_fp32_arith,EXIT,6
probe_fp32_arith,FADD.FTZ,28
probe_fp32_arith,FFMA.FTZ,16
probe_fp32_arith,FMNMX.FTZ,8
probe_fp32_arith,FMUL.FTZ,17
probe_fp32_arith,IMAD.MOV.U32,2
probe_fp32_arith,IMAD.WIDE,19
probe_fp32_arith,LDG.E,19
probe_fp32_arith,MOV,10
probe_fp32_arith,NOP,72
probe_fp32_arith,S2R,6
probe_fp32_arith,STG.E,9
probe_fp32_arith,ULDC.64,6
probe_fp32_special_modes,BRA,6
probe_fp32_special_modes,CS2R,2
probe_fp32_special_modes,EXIT,6
probe_fp32_special_modes,FADD.FTZ,1
probe_fp32_special_modes,FADD.SAT,1
probe_fp32_special_modes,FFMA.FTZ,516
probe_fp32_special_modes,FMUL.SAT,1
probe_fp32_special_modes,IADD3,3
probe_fp32_special_modes,IADD3.X,1
probe_fp32_special_modes,IMAD,2
probe_fp32_special_modes,IMAD.MOV.U32,4
probe_fp32_special_modes,IMAD.WIDE,8
probe_fp32_special_modes,ISETP.GE.AND,2
probe_fp32_special_modes,ISETP.NE.AND,3
probe_fp32_special_modes,LDG.E,3
probe_fp32_special_modes,LDG.E.STRONG.SYS,3
probe_fp32_special_modes,MOV,21
probe_fp32_special_modes,NOP,70
probe_fp32_special_modes,S2R,8
probe_fp32_special_modes,STG.E,5
probe_fp32_special_modes,STG.E.64.STRONG.SYS,2
probe_fp32_special_modes,STG.E.STRONG.SYS,1
probe_fp32_special_modes,ULDC.64,6
probe_fp64_arithmetic,BRA,7
probe_fp64_arithmetic,BSSY,2
probe_fp64_arithmetic,BSYNC,2
probe_fp64_arithmetic,CALL.REL.NOINC,1
probe_fp64_arithmetic,CS2R,8
probe_fp64_arithmetic,DADD,29
probe_fp64_arithmetic,DFMA,28
probe_fp64_arithmetic,DMUL,4
probe_fp64_arithmetic,DSETP.GEU.AND,1
probe_fp64_arithmetic,DSETP.GT.AND,1
probe_fp64_arithmetic,DSETP.GTU.AND,1
probe_fp64_arithmetic,EXIT,5
probe_fp64_arithmetic,F2F.F32.F64,1
probe_fp64_arithmetic,F2F.F64.F32,20
probe_fp64_arithmetic,FMUL.FTZ,20
probe_fp64_arithmetic,FSEL,2
probe_fp64_arithmetic,FSETP.GEU.AND,1
probe_fp64_arithmetic,IADD3,6
probe_fp64_arithmetic,IMAD,1
probe_fp64_arithmetic,IMAD.MOV.U32,11
probe_fp64_arithmetic,IMAD.WIDE,13
probe_fp64_arithmetic,ISETP.GE.U32.AND,2
probe_fp64_arithmetic,ISETP.NE.AND,2
probe_fp64_arithmetic,LDG.E,20
probe_fp64_arithmetic,LDG.E.64,6
probe_fp64_arithmetic,LEA,1
probe_fp64_arithmetic,LEA.HI.X,1
probe_fp64_arithmetic,LOP3.LUT,3
probe_fp64_arithmetic,MOV,17
probe_fp64_arithmetic,MUFU.RCP64H,3
probe_fp64_arithmetic,NOP,65
probe_fp64_arithmetic,RET.REL.NODEC,1
probe_fp64_arithmetic,S2R,6
probe_fp64_arithmetic,SHF.R.S32.HI,1
probe_fp64_arithmetic,STG.E,1
probe_fp64_arithmetic,STG.E.64,5
probe_fp64_arithmetic,ULDC.64,5
probe_fp64_extended,BRA,7
probe_fp64_extended,BSSY,2
probe_fp64_extended,BSYNC,2
probe_fp64_extended,CALL.REL.NOINC,1
probe_fp64_extended,DADD,8
probe_fp64_extended,DFMA,16
probe_fp64_extended,DMUL,3
probe_fp64_extended,DMUL.RP,1
probe_fp64_extended,DSETP.GE.AND,1
probe_fp64_extended,DSETP.GEU.AND,1
probe_fp64_extended,DSETP.GT.AND,1
probe_fp64_extended,DSETP.GTU.AND,1
probe_fp64_extended,DSETP.MAX.AND,1
probe_fp64_extended,DSETP.MIN.AND,1
