counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
TG/IB Load Utilization,float16,78644,0.000,0.000,0.000,1.419,9.526,0.048
TG/IB Store Limiter,float16,78644,0.000,0.000,0.000,1.752,10.298,0.056
TG/IB Store Utilization,float16,78644,0.000,0.000,0.000,6.185,17.204,0.140
Texture Cache Limiter,float16,78644,0.000,0.000,0.000,9.524,96.417,0.313
Texture Filtering Limiter,float16,78644,0.000,0.000,0.000,13.877,50.002,0.343
Texture Sample Limiter,float16,78644,0.000,0.000,0.000,16.488,99.470,0.486
Texture Sample Utilization,float16,78644,0.000,0.000,0.000,13.788,50.016,0.339
Texture Write Limiter,float16,78644,0.000,0.006,0.006,22.885,100.000,0.575
Texture Write Utilization,float16,78644,0.000,0.006,0.006,19.915,99.998,0.540
Top Performance Limiter,float16,78641,0.000,0.098,0.098,36.771,100.000,1.006
Total Occupancy,float16,66904,0.000,0.022,0.028,51.072,100.031,1.186
Vertex Occupancy,float16,78644,0.000,0.000,0.000,0.029,0.607,0.001
ALU Limiter,float32,78751,0.000,0.025,0.027,16.121,92.973,0.558
ALU Utilization,float32,78751,0.000,0.025,0.026,15.229,81.699,0.496
Buffer Load Utilization,float32,78751,0.000,0.003,0.003,0.110,1.721,0.006
Buffer Read Limiter,float32,78751,0.000,0.003,0.003,0.110,1.722,0.006
Buffer Store Utilization,float32,78751,0.000,0.018,0.018,0.037,0.387,0.016
Buffer Write Limiter,float32,78751,0.000,0.018,0.018,0.037,0.388,0.016
Compute Occupancy,float32,78751,0.000,0.021,0.026,0.043,5.453,0.027
F16 Utilization,float32,78751,0.000,0.000,0.000,3.216,25.757,0.135
F32 Utilization,float32,78751,0.000,0.007,0.008,3.027,25.093,0.093
Fragment Interp Limiter,float32,78751,0.000,0.000,0.000,3.159,25.631,0.120
Fragment Interp Utilization,float32,78751,0.000,0.000,0.000,1.478,18.668,0.073
Fragment Occupancy,float32,78751,0.000,0.000,0.000,35.375,100.000,0.845
GPU Read Bandwidth,float32,78751,0.000,0.020,0.020,5.908,39.195,0.232
GPU Write Bandwidth,float32,78751,0.000,0.049,0.049,3.927,66.851,0.184
LLC Limiter,float32,78751,0.000,0.098,0.100,7.859,54.890,0.329
LLC Utilization,float32,78751,0.000,0.098,0.100,7.285,33.594,0.299
MMU Limiter,float32,78751,0.000,0.034,0.034,5.142,46.603,0.214
MMU Utilization,float32,78751,0.000,0.034,0.034,5.003,33.342,0.205
Partial Renders,float32,78751,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,float32,78751,0.000,0.000,0.000,1.607,10.776,0.051
TG/IB Load Utilization,float32,78751,0.000,0.000,0.000,1.242,9.459,0.044
TG/IB Store Limiter,float32,78751,0.000,0.000,0.000,1.607,10.776,0.051
TG/IB Store Utilization,float32,78751,0.000,0.000,0.000,4.944,15.867,0.124
Texture Cache Limiter,float32,78751,0.000,0.000,0.000,7.585,94.712,0.253
Texture Filtering Limiter,float32,78751,0.000,0.000,0.000,11.968,50.034,0.310
Texture Sample Limiter,float32,78751,0.000,0.000,0.000,14.319,99.729,0.414
Texture Sample Utilization,float32,78751,0.000,0.000,0.000,11.811,50.029,0.306
Texture Write Limiter,float32,78751,0.000,0.006,0.006,18.646,100.000,0.511
Texture Write Utilization,float32,78751,0.000,0.006,0.006,17.681,100.000,0.494
Top Performance Limiter,float32,78748,0.000,0.098,0.100,31.994,100.000,0.898
Total Occupancy,float32,69476,0.000,0.021,0.027,41.973,166.221,0.989
Vertex Occupancy,float32,78751,0.000,0.000,0.000,0.017,0.431,0.001
ALU Limiter,fp8_e4m3,78857,0.000,0.430,0.431,21.418,100.000,0.980
ALU Utilization,fp8_e4m3,78857,0.000,0.427,0.429,19.136,81.728,0.902
Buffer Load Utilization,fp8_e4m3,78857,0.000,0.005,0.005,0.132,1.358,0.008
Buffer Read Limiter,fp8_e4m3,78857,0.000,0.005,0.005,0.132,1.358,0.008
Buffer Store Utilization,fp8_e4m3,78857,0.000,0.018,0.018,0.018,0.405,0.014
Buffer Write Limiter,fp8_e4m3,78857,0.000,0.018,0.018,0.018,0.406,0.014
Compute Occupancy,fp8_e4m3,78857,0.000,0.122,0.146,0.288,60.281,0.117
F16 Utilization,fp8_e4m3,78857,0.000,0.000,0.000,4.931,25.783,0.161
F32 Utilization,fp8_e4m3,78857,0.000,0.082,0.082,4.043,23.882,0.164
Fragment Interp Limiter,fp8_e4m3,78857,0.000,0.000,0.000,4.097,26.374,0.147
Fragment Interp Utilization,fp8_e4m3,78857,0.000,0.000,0.000,2.126,18.655,0.092
Fragment Occupancy,fp8_e4m3,78857,0.000,0.000,0.000,49.305,100.000,1.059
GPU Read Bandwidth,fp8_e4m3,78857,0.000,0.032,0.032,10.679,40.309,0.304
GPU Write Bandwidth,fp8_e4m3,78857,0.000,0.049,0.049,5.144,66.923,0.220
LLC Limiter,fp8_e4m3,78857,0.000,0.141,0.143,12.044,55.251,0.438
LLC Utilization,fp8_e4m3,78857,0.000,0.141,0.143,11.132,40.538,0.380
MMU Limiter,fp8_e4m3,78857,0.000,0.040,0.040,9.344,42.255,0.275
MMU Utilization,fp8_e4m3,78857,0.000,0.040,0.040,8.836,39.314,0.259
Partial Renders,fp8_e4m3,78857,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,fp8_e4m3,78857,0.000,0.000,0.000,2.002,10.722,0.064
TG/IB Load Utilization,fp8_e4m3,78857,0.000,0.000,0.000,1.526,9.915,0.055
TG/IB Store Limiter,fp8_e4m3,78857,0.000,0.000,0.000,2.002,10.722,0.064
TG/IB Store Utilization,fp8_e4m3,78857,0.000,0.000,0.000,6.579,18.856,0.152
Texture Cache Limiter,fp8_e4m3,78857,0.000,0.000,0.000,10.542,96.267,0.339
Texture Filtering Limiter,fp8_e4m3,78857,0.000,0.000,0.000,15.306,50.033,0.377
Texture Sample Limiter,fp8_e4m3,78857,0.000,0.000,0.000,18.558,99.271,0.524
Texture Sample Utilization,fp8_e4m3,78857,0.000,0.000,0.000,14.792,50.026,0.373
Texture Write Limiter,fp8_e4m3,78857,0.000,0.006,0.006,27.002,100.000,0.615
Texture Write Utilization,fp8_e4m3,78857,0.000,0.006,0.006,23.586,99.996,0.577
Top Performance Limiter,fp8_e4m3,78854,0.000,0.430,0.431,43.230,100.000,1.337
Total Occupancy,fp8_e4m3,62845,0.000,0.129,0.152,60.541,163.367,1.477
Vertex Occupancy,fp8_e4m3,78857,0.000,0.000,0.000,0.018,0.503,0.001
ALU Limiter,fp8_e5m2,78760,0.000,0.429,0.431,18.103,93.199,0.918
ALU Utilization,fp8_e5m2,78760,0.000,0.427,0.429,17.047,81.798,0.850
Buffer Load Utilization,fp8_e5m2,78760,0.000,0.005,0.005,0.111,2.511,0.008
Buffer Read Limiter,fp8_e5m2,78760,0.000,0.005,0.005,0.111,2.513,0.008
Buffer Store Utilization,fp8_e5m2,78760,0.000,0.018,0.018,0.018,0.415,0.014
Buffer Write Limiter,fp8_e5m2,78760,0.000,0.018,0.018,0.018,0.415,0.014
Compute Occupancy,fp8_e5m2,78760,0.000,0.123,0.147,0.295,5.381,0.111
F16 Utilization,fp8_e5m2,78760,0.000,0.000,0.000,3.575,25.761,0.148
F32 Utilization,fp8_e5m2,78760,0.000,0.082,0.082,3.617,23.580,0.158
Fragment Interp Limiter,fp8_e5m2,78760,0.000,0.000,0.000,3.489,26.357,0.131
Fragment Interp Utilization,fp8_e5m2,78760,0.000,0.000,0.000,1.888,18.711,0.081
Fragment Occupancy,fp8_e5m2,78760,0.000,0.000,0.000,42.303,100.000,0.961
GPU Read Bandwidth,fp8_e5m2,78760,0.000,0.031,0.031,7.442,39.839,0.270
GPU Write Bandwidth,fp8_e5m2,78760,0.000,0.049,0.049,4.462,66.798,0.196
LLC Limiter,fp8_e5m2,78760,0.000,0.141,0.143,8.768,52.314,0.395
LLC Utilization,fp8_e5m2,78760,0.000,0.141,0.143,8.254,37.787,0.350
MMU Limiter,fp8_e5m2,78760,0.000,0.040,0.040,6.429,44.640,0.245
MMU Utilization,fp8_e5m2,78760,0.000,0.040,0.040,6.126,35.755,0.230
Partial Renders,fp8_e5m2,78760,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,fp8_e5m2,78760,0.000,0.000,0.000,1.653,10.616,0.056
TG/IB Load Utilization,fp8_e5m2,78760,0.000,0.000,0.000,1.345,9.794,0.048
TG/IB Store Limiter,fp8_e5m2,78760,0.000,0.000,0.000,1.653,10.616,0.056
TG/IB Store Utilization,fp8_e5m2,78760,0.000,0.000,0.000,5.767,18.701,0.137
Texture Cache Limiter,fp8_e5m2,78760,0.000,0.000,0.000,9.099,95.730,0.305
Texture Filtering Limiter,fp8_e5m2,78760,0.000,0.000,0.000,13.739,50.024,0.339
Texture Sample Limiter,fp8_e5m2,78760,0.000,0.000,0.000,16.104,99.750,0.477
Texture Sample Utilization,fp8_e5m2,78760,0.000,0.000,0.000,13.672,49.983,0.335
Texture Write Limiter,fp8_e5m2,78760,0.000,0.006,0.006,21.801,100.000,0.568
Texture Write Utilization,fp8_e5m2,78760,0.000,0.006,0.006,19.821,100.000,0.539
Top Performance Limiter,fp8_e5m2,78757,0.000,0.429,0.431,36.400,100.000,1.250
Total Occupancy,fp8_e5m2,64107,0.000,0.131,0.156,53.260,100.058,1.317
Vertex Occupancy,fp8_e5m2,78760,0.000,0.000,0.000,0.027,0.631,0.001
ALU Limiter,int8,78770,0.000,0.024,0.026,15.132,92.960,0.543
ALU Utilization,int8,78770,0.000,0.023,0.025,14.079,81.711,0.482
Buffer Load Utilization,int8,78770,0.000,0.004,0.004,0.110,1.105,0.007
Buffer Read Limiter,int8,78770,0.000,0.004,0.004,0.110,1.105,0.007
Buffer Store Utilization,int8,78770,0.000,0.018,0.018,0.037,0.396,0.016
Buffer Write Limiter,int8,78770,0.000,0.018,0.018,0.037,0.399,0.016
Compute Occupancy,int8,78770,0.000,0.018,0.025,0.042,5.457,0.024
F16 Utilization,int8,78770,0.000,0.000,0.000,2.902,25.829,0.133
F32 Utilization,int8,78770,0.000,0.000,0.000,2.662,23.795,0.085
Fragment Interp Limiter,int8,78770,0.000,0.000,0.000,2.898,25.976,0.117
Fragment Interp Utilization,int8,78770,0.000,0.000,0.000,1.274,18.768,0.072
Fragment Occupancy,int8,78770,0.000,0.000,0.000,33.336,100.000,0.812
GPU Read Bandwidth,int8,78770,0.000,0.021,0.021,5.818,35.378,0.224
GPU Write Bandwidth,int8,78770,0.000,0.049,0.049,3.811,30.215,0.174
LLC Limiter,int8,78770,0.000,0.100,0.102,7.071,50.434,0.321
LLC Utilization,int8,78770,0.000,0.100,0.102,6.565,33.339,0.291
MMU Limiter,int8,78770,0.000,0.034,0.035,4.722,41.883,0.205
MMU Utilization,int8,78770,0.000,0.034,0.035,4.588,31.657,0.197
Partial Renders,int8,78770,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,int8,78770,0.000,0.000,0.000,1.552,10.278,0.050
TG/IB Load Utilization,int8,78770,0.000,0.000,0.000,1.188,9.463,0.043
TG/IB Store Limiter,int8,78770,0.000,0.000,0.000,1.552,10.278,0.050
TG/IB Store Utilization,int8,78770,0.000,0.000,0.000,4.550,15.857,0.119
Texture Cache Limiter,int8,78770,0.000,0.000,0.000,7.465,81.544,0.233
Texture Filtering Limiter,int8,78770,0.000,0.000,0.000,11.236,50.098,0.298
Texture Sample Limiter,int8,78770,0.000,0.000,0.000,13.023,99.388,0.389
Texture Sample Utilization,int8,78770,0.000,0.000,0.000,11.042,50.120,0.295
Texture Write Limiter,int8,78770,0.000,0.006,0.006,17.903,100.000,0.488
Texture Write Utilization,int8,78770,0.000,0.006,0.006,17.123,100.000,0.471
Top Performance Limiter,int8,78767,0.000,0.100,0.102,30.573,100.000,0.867
Total Occupancy,int8,70082,0.000,0.018,0.026,39.727,157.612,0.941
Vertex Occupancy,int8,78770,0.000,0.000,0.000,0.023,0.284,0.001
ALU Limiter,mxfp4,78361,0.000,0.264,0.266,22.267,92.826,0.895
ALU Utilization,mxfp4,78361,0.000,0.262,0.264,19.849,81.653,0.813
Buffer Load Utilization,mxfp4,78361,0.000,0.005,0.005,0.172,1.307,0.008
Buffer Read Limiter,mxfp4,78361,0.000,0.005,0.005,0.172,1.307,0.008
Buffer Store Utilization,mxfp4,78361,0.000,0.018,0.018,0.018,0.405,0.012
Buffer Write Limiter,mxfp4,78361,0.000,0.018,0.018,0.018,0.406,0.012
Compute Occupancy,mxfp4,78361,0.000,0.204,0.225,0.381,5.613,0.156
F16 Utilization,mxfp4,78361,0.000,0.000,0.000,5.829,25.731,0.181
F32 Utilization,mxfp4,78361,0.000,0.016,0.017,4.686,25.870,0.127
Fragment Interp Limiter,mxfp4,78361,0.000,0.000,0.000,5.503,26.514,0.167
Fragment Interp Utilization,mxfp4,78361,0.000,0.000,0.000,2.692,18.758,0.103
Fragment Occupancy,mxfp4,78361,0.000,0.000,0.000,54.800,100.000,1.207
GPU Read Bandwidth,mxfp4,78361,0.000,0.026,0.026,14.045,38.728,0.329
GPU Write Bandwidth,mxfp4,78361,0.000,0.049,0.049,5.694,33.265,0.239
LLC Limiter,mxfp4,78361,0.000,0.129,0.133,14.748,52.854,0.463
LLC Utilization,mxfp4,78361,0.000,0.129,0.133,12.717,34.526,0.391
MMU Limiter,mxfp4,78361,0.000,0.025,0.037,11.681,44.721,0.296
MMU Utilization,mxfp4,78361,0.000,0.025,0.037,10.780,33.259,0.280
Partial Renders,mxfp4,78361,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,mxfp4,78361,0.000,0.023,0.023,2.286,10.536,0.085
TG/IB Load Utilization,mxfp4,78361,0.000,0.023,0.023,1.723,9.911,0.076
TG/IB Store Limiter,mxfp4,78361,0.000,0.023,0.023,2.286,10.536,0.085
TG/IB Store Utilization,mxfp4,78361,0.000,0.014,0.014,7.639,23.987,0.182
Texture Cache Limiter,mxfp4,78361,0.000,0.000,0.000,11.590,95.455,0.364
Texture Filtering Limiter,mxfp4,78361,0.000,0.000,0.000,16.331,50.058,0.416
Texture Sample Limiter,mxfp4,78361,0.000,0.000,0.000,19.157,99.470,0.568
Texture Sample Utilization,mxfp4,78361,0.000,0.000,0.000,15.741,50.060,0.411
Texture Write Limiter,mxfp4,78361,0.000,0.006,0.006,28.801,100.000,0.709
Texture Write Utilization,mxfp4,78361,0.000,0.006,0.006,25.866,100.000,0.652
Top Performance Limiter,mxfp4,78358,0.000,0.264,0.266,45.610,100.000,1.298
Total Occupancy,mxfp4,56411,0.000,0.207,0.347,69.214,100.032,1.894
Vertex Occupancy,mxfp4,78361,0.000,0.000,0.000,0.030,0.436,0.001
ALU Limiter,mxfp6,81173,0.000,0.324,0.326,38.645,97.290,1.391
ALU Utilization,mxfp6,81173,0.000,0.322,0.325,31.275,81.228,1.216
Buffer Load Utilization,mxfp6,81173,0.000,0.005,0.005,0.314,9.068,0.014
Buffer Read Limiter,mxfp6,81173,0.000,0.005,0.005,0.314,9.068,0.014
Buffer Store Utilization,mxfp6,81173,0.000,0.018,0.018,0.018,0.405,0.012
Buffer Write Limiter,mxfp6,81173,0.000,0.018,0.018,0.018,0.407,0.012
Compute Occupancy,mxfp6,81173,0.000,0.209,0.222,0.370,99.043,0.164
F16 Utilization,mxfp6,81173,0.000,0.000,0.000,8.709,25.666,0.245
F32 Utilization,mxfp6,81173,0.000,0.030,0.031,5.044,39.503,0.187
Fragment Interp Limiter,mxfp6,81173,0.000,0.000,0.000,6.439,26.968,0.227
Fragment Interp Utilization,mxfp6,81173,0.000,0.000,0.000,3.330,18.684,0.126
Fragment Occupancy,mxfp6,81173,0.000,0.000,0.000,54.370,100.000,1.793
GPU Read Bandwidth,mxfp6,81173,0.000,0.027,0.027,11.512,48.648,0.411
GPU Write Bandwidth,mxfp6,81173,0.000,0.049,0.066,5.844,62.395,0.291
LLC Limiter,mxfp6,81173,0.000,0.141,0.143,11.454,53.947,0.564
LLC Utilization,mxfp6,81173,0.000,0.141,0.143,10.649,36.528,0.493
MMU Limiter,mxfp6,81173,0.000,0.028,0.038,8.633,52.670,0.361
MMU Utilization,mxfp6,81173,0.000,0.028,0.038,7.727,35.257,0.331
Partial Renders,mxfp6,81173,0.000,0.000,0.000,0.000,3.000,0.000
TG/IB Load Limiter,mxfp6,81173,0.000,0.023,0.023,3.907,13.094,0.130
TG/IB Load Utilization,mxfp6,81173,0.000,0.023,0.023,3.079,9.918,0.100
TG/IB Store Limiter,mxfp6,81173,0.000,0.023,0.023,3.907,13.094,0.130
TG/IB Store Utilization,mxfp6,81173,0.000,0.014,0.014,6.538,23.199,0.218
Texture Cache Limiter,mxfp6,81173,0.000,0.000,0.000,13.852,96.753,0.554
Texture Filtering Limiter,mxfp6,81173,0.000,0.000,0.000,33.399,66.714,0.978
Texture Sample Limiter,mxfp6,81173,0.000,0.000,0.000,37.945,99.406,1.167
Texture Sample Utilization,mxfp6,81173,0.000,0.000,0.000,33.511,67.636,0.981
Texture Write Limiter,mxfp6,81173,0.000,0.006,0.006,25.179,100.000,0.899
Texture Write Utilization,mxfp6,81173,0.000,0.006,0.006,22.781,99.935,0.845
Top Performance Limiter,mxfp6,81170,0.000,0.324,0.326,50.524,100.000,1.875
Total Occupancy,mxfp6,60839,0.000,0.209,0.380,59.726,120.636,2.615
Vertex Occupancy,mxfp6,81173,0.000,0.000,0.000,0.080,3.947,0.002
ALU Limiter,mxfp8,78812,0.000,0.349,0.351,19.640,94.310,0.899
ALU Utilization,mxfp8,78812,0.000,0.347,0.349,18.217,83.193,0.823
Buffer Load Utilization,mxfp8,78812,0.000,0.005,0.005,0.110,6.261,0.007
Buffer Read Limiter,mxfp8,78812,0.000,0.005,0.005,0.110,6.261,0.007
Buffer Store Utilization,mxfp8,78812,0.000,0.018,0.018,0.018,0.415,0.013
Buffer Write Limiter,mxfp8,78812,0.000,0.018,0.018,0.018,0.415,0.013
Compute Occupancy,mxfp8,78812,0.000,0.216,0.231,0.377,87.629,0.170
F16 Utilization,mxfp8,78812,0.000,0.000,0.000,4.585,25.864,0.164
F32 Utilization,mxfp8,78812,0.000,0.037,0.037,3.958,25.980,0.130
Fragment Interp Limiter,mxfp8,78812,0.000,0.000,0.000,3.694,28.467,0.144
Fragment Interp Utilization,mxfp8,78812,0.000,0.000,0.000,2.124,18.867,0.091
Fragment Occupancy,mxfp8,78812,0.000,0.000,0.000,51.839,100.000,1.119
GPU Read Bandwidth,mxfp8,78812,0.000,0.025,0.025,10.928,41.202,0.319
GPU Write Bandwidth,mxfp8,78812,0.000,0.049,0.049,4.959,64.678,0.212
LLC Limiter,mxfp8,78812,0.000,0.141,0.143,12.116,54.097,0.453
LLC Utilization,mxfp8,78812,0.000,0.141,0.143,10.423,38.018,0.378
MMU Limiter,mxfp8,78812,0.000,0.028,0.037,9.854,45.489,0.292
MMU Utilization,mxfp8,78812,0.000,0.028,0.037,8.627,36.568,0.262
Partial Renders,mxfp8,78812,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,mxfp8,78812,0.000,0.023,0.023,1.749,12.605,0.078
TG/IB Load Utilization,mxfp8,78812,0.000,0.023,0.023,1.437,11.308,0.070
TG/IB Store Limiter,mxfp8,78812,0.000,0.023,0.023,1.749,12.605,0.078
TG/IB Store Utilization,mxfp8,78812,0.000,0.014,0.014,6.479,23.946,0.159
Texture Cache Limiter,mxfp8,78812,0.000,0.000,0.000,10.842,96.959,0.408
Texture Filtering Limiter,mxfp8,78812,0.000,0.000,0.000,15.555,49.986,0.377
Texture Sample Limiter,mxfp8,78812,0.000,0.000,0.000,18.558,99.720,0.590
Texture Sample Utilization,mxfp8,78812,0.000,0.000,0.000,15.140,49.984,0.373
Texture Write Limiter,mxfp8,78812,0.000,0.006,0.006,26.641,100.000,0.609
Texture Write Utilization,mxfp8,78812,0.000,0.006,0.006,21.622,100.000,0.563
Top Performance Limiter,mxfp8,78809,0.000,0.349,0.351,47.108,100.000,1.300
Total Occupancy,mxfp8,59901,0.000,0.219,0.290,79.254,100.061,1.697
Vertex Occupancy,mxfp8,78812,0.000,0.000,0.000,0.018,0.531,0.001
ALU Limiter,mxint8,78843,0.000,0.233,0.234,0.235,17.368,0.189
ALU Utilization,mxint8,78843,0.000,0.230,0.232,0.233,15.593,0.186
Buffer Load Utilization,mxint8,78843,0.000,0.004,0.004,0.004,0.412,0.003
Buffer Read Limiter,mxint8,78843,0.000,0.004,0.004,0.004,0.412,0.003
Buffer Store Utilization,mxint8,78843,0.000,0.018,0.018,0.018,0.037,0.013
Buffer Write Limiter,mxint8,78843,0.000,0.018,0.018,0.018,0.037,0.013
Compute Occupancy,mxint8,78843,0.000,0.184,0.195,0.334,0.659,0.138
F16 Utilization,mxint8,78843,0.000,0.000,0.000,0.000,2.803,0.003
F32 Utilization,mxint8,78843,0.000,0.018,0.018,0.018,5.698,0.020
Fragment Interp Limiter,mxint8,78843,0.000,0.000,0.000,0.000,6.443,0.007
Fragment Interp Utilization,mxint8,78843,0.000,0.000,0.000,0.000,3.550,0.004
Fragment Occupancy,mxint8,78843,0.000,0.000,0.000,0.000,91.583,0.069
GPU Read Bandwidth,mxint8,78843,0.000,0.022,0.022,0.022,26.586,0.047
GPU Write Bandwidth,mxint8,78843,0.000,0.049,0.049,0.049,26.263,0.071
LLC Limiter,mxint8,78843,0.000,0.118,0.120,0.121,46.543,0.135
LLC Utilization,mxint8,78843,0.000,0.118,0.120,0.121,26.886,0.122
MMU Limiter,mxint8,78843,0.000,0.028,0.035,0.035,27.672,0.060
MMU Utilization,mxint8,78843,0.000,0.028,0.035,0.035,25.776,0.058
Partial Renders,mxint8,78843,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,mxint8,78843,0.000,0.023,0.023,0.023,2.637,0.020
TG/IB Load Utilization,mxint8,78843,0.000,0.023,0.023,0.023,2.053,0.019
TG/IB Store Limiter,mxint8,78843,0.000,0.023,0.023,0.023,2.637,0.020
TG/IB Store Utilization,mxint8,78843,0.000,0.014,0.014,0.014,11.701,0.024
Texture Cache Limiter,mxint8,78843,0.000,0.000,0.000,0.000,29.682,0.012
Texture Filtering Limiter,mxint8,78843,0.000,0.000,0.000,0.000,14.070,0.017
Texture Sample Limiter,mxint8,78843,0.000,0.000,0.000,0.000,18.147,0.019
Texture Sample Utilization,mxint8,78843,0.000,0.000,0.000,0.000,14.070,0.017
Texture Write Limiter,mxint8,78843,0.000,0.006,0.006,0.006,70.031,0.047
Texture Write Utilization,mxint8,78843,0.000,0.006,0.006,0.006,28.157,0.038
Top Performance Limiter,mxint8,78840,0.000,0.233,0.234,0.235,70.031,0.222
Total Occupancy,mxint8,59804,0.000,0.185,0.195,0.346,91.583,0.273
Vertex Occupancy,mxint8,78843,0.000,0.000,0.000,0.000,0.330,0.000
ALU Limiter,tf32,77847,0.000,0.035,0.037,19.497,92.995,0.652
ALU Utilization,tf32,77847,0.000,0.034,0.035,17.834,81.758,0.581
Buffer Load Utilization,tf32,77847,0.000,0.004,0.004,0.132,1.498,0.008
Buffer Read Limiter,tf32,77847,0.000,0.004,0.004,0.132,1.498,0.008
Buffer Store Utilization,tf32,77847,0.000,0.018,0.018,0.037,0.414,0.016
Buffer Write Limiter,tf32,77847,0.000,0.018,0.018,0.037,0.416,0.016
