depth,start,count,visits,useful
9,351,2,0,0
9,353,2,0,0
8,355,0,0,0
9,355,2,0,0
9,357,0,0,0
10,357,1,0,0
10,358,2,0,0
6,360,0,0,0
7,360,0,0,0
8,360,0,0,0
9,360,2,0,0
9,362,2,0,0
8,364,0,0,0
9,364,2,0,0
9,366,2,0,0
7,368,0,0,0
8,368,0,0,0
9,368,2,0,0
9,370,2,0,0
8,372,0,0,0
9,372,2,0,0
9,374,0,0,0
10,374,1,0,0
10,375,2,0,0
5,377,0,0,0
6,377,0,0,0
7,377,0,0,0
8,377,0,0,0
9,377,2,0,0
9,379,2,0,0
8,381,0,0,0
9,381,2,0,0
9,383,2,0,0
7,385,0,0,0
8,385,0,0,0
9,385,2,0,0
9,387,2,0,0
8,389,0,0,0
9,389,2,0,0
9,391,0,0,0
10,391,1,0,0
10,392,2,0,0
6,394,0,0,0
7,394,0,0,0
8,394,0,0,0
9,394,2,0,0
9,396,2,0,0
8,398,0,0,0
9,398,2,0,0
9,400,0,0,0
10,400,1,0,0
10,401,2,0,0
7,403,0,0,0
8,403,0,0,0
9,403,2,0,0
9,405,2,0,0
8,407,0,0,0
9,407,2,0,0
9,409,0,0,0
10,409,1,0,0
10,410,2,0,0
3,412,0,50075,2436
4,412,0,43754,2436
5,412,0,1329,296
6,412,0,769,180
7,412,0,211,28
8,412,0,31,14
9,412,2,12,8
9,414,2,17,6
8,416,0,180,14
9,416,2,28,12
9,418,2,124,2
7,420,0,759,152
8,420,0,251,67
9,420,2,62,22
9,422,2,209,45
8,424,0,491,85
9,424,2,139,2
9,426,0,323,83
10,426,1,35,21
10,427,2,210,62
6,429,0,731,116
7,429,0,221,35
8,429,0,67,13
9,429,2,31,1
9,431,2,64,12
8,433,0,152,22
9,433,2,69,12
9,435,2,109,10
7,437,0,490,81
8,437,0,140,6
9,437,2,28,4
9,439,2,127,2
8,441,0,389,75
9,441,2,113,5
9,443,0,349,70
10,443,1,17,9
10,444,2,186,61
5,446,0,43513,2140
6,446,0,10191,2140
7,446,0,3668,446
8,446,0,2622,373
9,446,2,246,71
9,448,2,2376,302
8,450,0,1542,73
9,450,2,97,39
9,452,2,939,34
7,454,0,9379,1694
8,454,0,7931,1462
9,454,2,7244,1462
9,456,2,687,0
8,458,0,1134,232
9,458,2,658,232
9,460,0,0,0
10,460,1,0,0
10,461,2,0,0
6,463,0,508,0
7,463,0,407,0
8,463,0,373,0
9,463,2,372,0
9,465,2,1,0
8,467,0,34,0
9,467,2,0,0
9,469,0,0,0
10,469,1,0,0
10,470,2,0,0
7,472,0,29,0
8,472,0,0,0
9,472,2,0,0
9,474,2,0,0
8,476,0,0,0
9,476,2,0,0
9,478,0,0,0
10,478,1,0,0
10,479,2,0,0
4,481,0,6321,0
5,481,0,0,0
6,481,0,0,0
7,481,0,0,0
8,481,0,0,0
9,481,2,0,0
9,483,2,0,0
8,485,0,0,0
9,485,2,0,0
9,487,2,0,0
7,489,0,0,0
8,489,0,0,0
9,489,2,0,0
9,491,2,0,0
8,493,0,0,0
9,493,2,0,0
9,495,0,0,0
10,495,1,0,0
10,496,2,0,0
6,498,0,0,0
7,498,0,0,0
8,498,0,0,0
9,498,2,0,0
9,500,2,0,0
8,502,0,0,0
9,502,2,0,0
9,504,2,0,0
7,506,0,0,0
8,506,0,0,0
9,506,2,0,0
9,508,2,0,0
8,510,0,0,0
9,510,2,0,0
9,512,0,0,0
10,512,1,0,0
10,513,2,0,0
5,515,0,0,0
6,515,0,0,0
7,515,0,0,0
8,515,0,0,0
9,515,2,0,0
9,517,2,0,0
8,519,0,0,0
9,519,2,0,0
9,521,2,0,0
7,523,0,0,0
8,523,0,0,0
9,523,2,0,0
9,525,2,0,0
8,527,0,0,0
9,527,2,0,0
9,529,0,0,0
10,529,1,0,0
10,530,2,0,0
6,532,0,0,0
7,532,0,0,0
8,532,0,0,0
9,532,2,0,0
9,534,2,0,0
8,536,0,0,0
9,536,2,0,0
9,538,0,0,0
10,538,1,0,0
10,539,2,0,0
7,541,0,0,0
8,541,0,0,0
9,541,2,0,0
9,543,2,0,0
8,545,0,0,0
9,545,2,0,0
9,547,0,0,0
10,547,1,0,0
10,548,2,0,0
1,550,0,357062,79188
2,550,0,180000,23857
3,550,0,180000,23857
4,550,0,1071,254
5,550,0,383,39
6,550,0,89,10
7,550,0,39,9
8,550,0,12,5
9,550,2,8,5
9,552,2,4,0
8,554,0,30,4
9,554,2,28,4
9,556,2,5,0
7,558,0,61,1
8,558,0,39,1
9,558,2,0,0
9,560,2,36,1
8,562,0,23,0
9,562,2,16,0
9,564,0,4,0
10,564,1,2,0
10,565,2,0,0
6,567,0,332,29
7,567,0,242,12
8,567,0,45,3
9,567,2,17,3
9,569,2,31,0
8,571,0,233,9
9,571,2,142,3
9,573,2,126,6
7,575,0,120,17
8,575,0,25,2
9,575,2,13,0
9,577,2,16,2
8,579,0,64,15
9,579,2,1,1
9,581,0,45,14
10,581,1,0,0
10,582,2,40,14
5,584,0,798,215
6,584,0,417,116
7,584,0,142,34
8,584,0,102,13
9,584,2,28,10
9,586,2,67,3
8,588,0,42,21
9,588,2,2,0
9,590,2,32,21
7,592,0,378,82
8,592,0,156,42
9,592,2,40,29
9,594,2,105,13
8,596,0,252,40
9,596,2,104,26
9,598,0,136,14
10,598,1,16,12
10,599,2,82,2
6,601,0,515,99
7,601,0,95,27
8,601,0,53,23
9,601,2,5,0
9,603,2,45,23
8,605,0,42,4
9,605,2,2,0
9,607,2,9,4
7,609,0,462,72
8,609,0,90,45
9,609,2,42,27
9,611,2,48,18
8,613,0,379,27
9,613,2,222,0
9,615,0,159,27
10,615,1,3,0
10,616,2,89,27
4,618,0,180000,23603
5,618,0,1364,230
6,618,0,159,0
7,618,0,117,0
8,618,0,0,0
9,618,2,0,0
9,620,2,0,0
8,622,0,117,0
9,622,2,0,0
9,624,2,0,0
7,626,0,42,0
8,626,0,0,0
9,626,2,0,0
9,628,2,0,0
8,630,0,0,0
9,630,2,0,0
9,632,0,0,0
10,632,1,0,0
10,633,2,0,0
6,635,0,1364,230
7,635,0,1316,230
8,635,0,501,131
9,635,2,211,131
9,637,2,290,0
8,639,0,1316,99
9,639,2,398,98
9,641,2,691,1
7,643,0,48,0
8,643,0,0,0
9,643,2,0,0
9,645,2,0,0
8,647,0,0,0
9,647,2,0,0
9,649,0,0,0
10,649,1,0,0
10,650,2,0,0
5,652,0,180000,23373
6,652,0,115200,23373
7,652,0,3633,628
8,652,0,547,247
9,652,2,226,51
9,654,2,380,196
8,656,0,3281,381
9,656,2,426,282
9,658,2,1790,99
7,660,0,114688,22745
8,660,0,888,220
9,660,2,425,177
9,662,2,463,43
8,664,0,114688,22525
9,664,2,3505,978
9,666,0,114688,21547
10,666,1,246,143
10,667,2,114688,21404
6,669,0,73782,0
7,669,0,0,0
8,669,0,0,0
9,669,2,0,0
9,671,2,0,0
8,673,0,0,0
9,673,2,0,0
9,675,0,0,0
10,675,1,0,0
10,676,2,0,0
7,678,0,8982,0
8,678,0,0,0
9,678,2,0,0
9,680,2,0,0
8,682,0,8018,0
9,682,2,0,0
9,684,0,0,0
10,684,1,0,0
10,685,2,0,0
3,687,0,0,0
4,687,0,0,0
5,687,0,0,0
6,687,0,0,0
7,687,0,0,0
8,687,0,0,0
9,687,2,0,0
9,689,2,0,0
8,691,0,0,0
9,691,2,0,0
9,693,2,0,0
7,695,0,0,0
8,695,0,0,0
9,695,2,0,0
9,697,2,0,0
8,699,0,0,0
9,699,2,0,0
9,701,0,0,0
10,701,1,0,0
10,702,2,0,0
6,704,0,0,0
7,704,0,0,0
8,704,0,0,0
9,704,2,0,0
9,706,2,0,0
8,708,0,0,0
9,708,2,0,0
9,710,2,0,0
7,712,0,0,0
8,712,0,0,0
9,712,2,0,0
9,714,2,0,0
8,716,0,0,0
9,716,2,0,0
9,718,0,0,0
10,718,1,0,0
10,719,2,0,0
5,721,0,0,0
6,721,0,0,0
7,721,0,0,0
8,721,0,0,0
9,721,2,0,0
9,723,2,0,0
8,725,0,0,0
9,725,2,0,0
9,727,2,0,0
7,729,0,0,0
8,729,0,0,0
9,729,2,0,0
9,731,2,0,0
8,733,0,0,0
9,733,2,0,0
9,735,0,0,0
10,735,1,0,0
10,736,2,0,0
6,738,0,0,0
7,738,0,0,0
8,738,0,0,0
9,738,2,0,0
9,740,2,0,0
8,742,0,0,0
9,742,2,0,0
9,744,0,0,0
10,744,1,0,0
10,745,2,0,0
7,747,0,0,0
8,747,0,0,0
9,747,2,0,0
9,749,2,0,0
8,751,0,0,0
9,751,2,0,0
9,753,0,0,0
10,753,1,0,0
10,754,2,0,0
4,756,0,0,0
5,756,0,0,0
6,756,0,0,0
7,756,0,0,0
8,756,0,0,0
9,756,2,0,0
9,758,2,0,0
8,760,0,0,0
9,760,2,0,0
9,762,2,0,0
7,764,0,0,0
8,764,0,0,0
9,764,2,0,0
9,766,2,0,0
8,768,0,0,0
9,768,2,0,0
9,770,0,0,0
10,770,1,0,0
10,771,2,0,0
6,773,0,0,0
7,773,0,0,0
8,773,0,0,0
9,773,2,0,0
9,775,2,0,0
8,777,0,0,0
9,777,2,0,0
9,779,2,0,0
7,781,0,0,0
8,781,0,0,0
9,781,2,0,0
9,783,2,0,0
8,785,0,0,0
9,785,2,0,0
9,787,0,0,0
10,787,1,0,0
10,788,2,0,0
5,790,0,0,0
6,790,0,0,0
7,790,0,0,0
8,790,0,0,0
9,790,2,0,0
9,792,2,0,0
8,794,0,0,0
9,794,2,0,0
9,796,2,0,0
7,798,0,0,0
8,798,0,0,0
9,798,2,0,0
9,800,2,0,0
8,802,0,0,0
9,802,2,0,0
9,804,0,0,0
10,804,1,0,0
10,805,2,0,0
6,807,0,0,0
7,807,0,0,0
8,807,0,0,0
9,807,2,0,0
9,809,2,0,0
8,811,0,0,0
9,811,2,0,0
9,813,0,0,0
10,813,1,0,0
10,814,2,0,0
7,816,0,0,0
8,816,0,0,0
9,816,2,0,0
9,818,2,0,0
8,820,0,0,0
9,820,2,0,0
9,822,0,0,0
10,822,1,0,0
10,823,2,0,0
