lane,backend,format,bit_width,support_tier,boundary_kind,probe_or_model,workload_id,artifact,status
neural,coreml_all,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
cpu,apple_cpu_reference,uint32,32,native,typed_reference,apple_cpu_latency,add_dep_u32,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u32.csv,measured
cpu,apple_cpu_reference,int64,64,native,typed_reference,apple_cpu_latency,add_dep_i64,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i64.csv,measured
cpu,apple_cpu_reference,int16,16,compiler_lowered,typed_lowering_reference,apple_cpu_latency,add_dep_i16,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i16.csv,measured
cpu,apple_cpu_reference,int8,8,compiler_lowered,typed_lowering_reference,apple_cpu_latency,add_dep_i8,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i8.csv,measured
cpu,apple_cpu_reference,uint16,16,compiler_lowered,typed_lowering_reference,apple_cpu_latency,add_dep_u16,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u16.csv,measured
cpu,apple_cpu_reference,uint8,8,compiler_lowered,typed_lowering_reference,apple_cpu_latency,add_dep_u8,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u8.csv,measured
cpu,apple_cpu_reference,float32,32,native,typed_reference,apple_cpu_latency,fadd_dep_f32,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/fadd_dep_f32.csv,measured
cpu,apple_cpu_reference,bfloat16,16,host_proxy,typed_proxy_reference,apple_cpu_latency,bf16_f32_roundtrip_proxy,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/bf16_f32_roundtrip_proxy.csv,measured
metal,air_type_surface,float32,32,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,float16,16,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,bfloat16,16,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,float64,64,unsupported_or_unknown,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified_failed
metal,air_type_surface,int32,32,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,int16,16,compiler_lowered,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,uint32,32,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,uint16,16,compiler_lowered,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,int8,8,compiler_lowered,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,int64,64,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,uint8,8,compiler_lowered,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,uint64,64,native,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,int4,4,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,uint4,4,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,fp4,4,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,tf32,19,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,fp8_e4m3,8,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,fp8_e5m2,8,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,mxfp8,8,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,mxint8,8,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,mxfp6,6,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
metal,air_type_surface,mxfp4,4,host_proxy,type_surface,classify_metal_type_surface,compile_and_air_classification,../apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_matrix.csv,classified
neural,pytorch_cpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float16,16,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float32,32,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float64,64,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float64,64,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_cpu,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,float16,16,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,float16,16,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,float32,32,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,float32,32,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,float64,64,unsupported_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,error
neural,pytorch_mps,float64,64,unsupported_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,error
neural,pytorch_mps,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_mps,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_mps,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_mps,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_mps,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_mps,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,planned
neural,mlx_gpu,float32,32,unknown,backend_boundary,neural_typed_matrix,environment,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,missing_dependency
neural,coreml_all,float32,32,unknown,backend_boundary,neural_typed_matrix,environment,../apple_re/results/typed_neural_frontier_smoke_20260401/neural_backend_matrix.csv,missing_dependency
neural,pytorch_proxy_cpu,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_cpu,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_cpu,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,planned
neural,pytorch_proxy_mps,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e4m3,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,fp8_e5m2,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
neural,pytorch_proxy_mps,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_frontier_proxy_only_20260401/neural_backend_matrix.csv,measured
