label,family,size_kib,size_bytes,stride_bytes,passes,accesses,elapsed_ns,ns_per_access,accesses_per_sec,approx_gaccesses_per_sec
stream_l1_hot,stream,128,131072,512,256,65536,73542,1.122162,891137037.339208,0.891137
stream_l1_hot,stream,192,196608,64,256,786432,1214667,1.544529,647446584.125526,0.647447
stream_l1_hot,stream,192,196608,128,256,393216,483625,1.229922,813059705.350220,0.813060
stream_l1_hot,stream,192,196608,256,256,196608,391292,1.990214,502458522.024473,0.502459
stream_l1_hot,stream,192,196608,512,256,98304,190208,1.934896,516823687.752355,0.516824
stream_l1_hot,stream,256,262144,64,256,1048576,1724750,1.644850,607958254.819539,0.607958
stream_l1_hot,stream,256,262144,128,256,524288,716209,1.366060,732032130.285992,0.732032
stream_l1_hot,stream,256,262144,256,256,262144,527500,2.012253,496955450.236967,0.496955
stream_l1_hot,stream,256,262144,512,256,131072,257500,1.964569,509017475.728155,0.509017
stream_l2_boundary,stream,192,196608,64,256,786432,1212833,1.542197,648425628.260445,0.648426
stream_l2_boundary,stream,192,196608,128,256,393216,481250,1.223882,817072207.792208,0.817072
stream_l2_boundary,stream,192,196608,256,256,196608,373250,1.898448,526746148.693905,0.526746
stream_l2_boundary,stream,192,196608,512,256,98304,190000,1.932780,517389473.684210,0.517389
stream_l2_boundary,stream,256,262144,64,256,1048576,1628458,1.553019,643907303.719224,0.643907
stream_l2_boundary,stream,256,262144,128,256,524288,709250,1.352787,739214663.376806,0.739215
stream_l2_boundary,stream,256,262144,256,256,262144,526709,2.009235,497701767.009867,0.497702
stream_l2_boundary,stream,256,262144,512,256,131072,230667,1.759850,568230392.730646,0.568230
stream_l2_boundary,stream,384,393216,64,171,1050624,1451833,1.381877,723653478.051539,0.723653
stream_l2_boundary,stream,384,393216,128,171,525312,651500,1.240215,806311588.641596,0.806312
stream_l2_boundary,stream,384,393216,256,171,262656,510583,1.943923,514423707.800691,0.514424
stream_l2_boundary,stream,384,393216,512,171,131328,231250,1.760858,567904864.864865,0.567905
stream_l2_boundary,stream,512,524288,64,128,1048576,1456666,1.389185,719846553.705517,0.719847
stream_l2_boundary,stream,512,524288,128,128,524288,655834,1.250904,799421804.907949,0.799422
stream_l2_boundary,stream,512,524288,256,128,262144,475500,1.813889,551301787.592008,0.551302
stream_l2_boundary,stream,512,524288,512,128,131072,231000,1.762390,567411255.411255,0.567411
stream_l2_boundary,stream,768,786432,64,86,1056768,1463125,1.384528,722267748.825288,0.722268
stream_l2_boundary,stream,768,786432,128,86,528384,663875,1.256425,795908868.386368,0.795909
stream_l2_boundary,stream,768,786432,256,86,264192,479750,1.815914,550686816.050026,0.550687
stream_l2_boundary,stream,768,786432,512,86,132096,232625,1.761030,567849543.256314,0.567850
stream_l2_boundary,stream,1024,1048576,64,64,1048576,1448166,1.381079,724071687.914231,0.724072
stream_l2_boundary,stream,1024,1048576,128,64,524288,661959,1.262587,792024883.716363,0.792025
stream_l2_boundary,stream,1024,1048576,256,64,262144,476917,1.819294,549663777.973945,0.549664
stream_l2_boundary,stream,1024,1048576,512,64,131072,315167,2.404533,415881104.303433,0.415881
stream_l2_boundary,stream,1536,1572864,64,43,1056768,1462417,1.383858,722617420.339069,0.722617
stream_l2_boundary,stream,1536,1572864,128,43,528384,695541,1.316355,759673405.306085,0.759673
stream_l2_boundary,stream,1536,1572864,256,43,264192,482750,1.827270,547264629.725531,0.547265
stream_l2_boundary,stream,1536,1572864,512,43,132096,233667,1.768918,565317310.531654,0.565317
stream_l2_boundary,stream,2048,2097152,64,32,1048576,1459792,1.392166,718305073.599527,0.718305
stream_l2_boundary,stream,2048,2097152,128,32,524288,683167,1.303038,767437537.234673,0.767438
stream_l2_boundary,stream,2048,2097152,256,32,262144,479916,1.830734,546228923.394928,0.546229
stream_l2_boundary,stream,2048,2097152,512,32,131072,232000,1.770020,564965517.241379,0.564966
pointer_chase_llc,pointer,128,131072,64,256,4194304,7701834,1.836260,544585094.926741,0.544585
pointer_chase_llc,pointer,128,131072,128,256,4194304,7812708,1.862695,536856618.729383,0.536857
pointer_chase_llc,pointer,128,131072,256,256,4194304,8264041,1.970301,507536688.165027,0.507537
pointer_chase_llc,pointer,192,196608,64,256,6291456,15419583,2.450877,408017259.610717,0.408017
pointer_chase_llc,pointer,192,196608,128,256,6291456,17366250,2.760291,362280630.533362,0.362281
pointer_chase_llc,pointer,192,196608,256,256,6291456,19885542,3.160722,316383430.735758,0.316383
pointer_chase_llc,pointer,256,262144,64,256,8388608,20001708,2.384389,419394583.702552,0.419395
pointer_chase_llc,pointer,256,262144,128,256,8388608,22831958,2.721781,367406422.173692,0.367406
pointer_chase_llc,pointer,256,262144,256,256,8388608,26448458,3.152902,317168131.314120,0.317168
pointer_chase_llc,pointer,384,393216,64,171,8404992,16268334,1.935556,516647371.513272,0.516647
pointer_chase_llc,pointer,384,393216,128,171,8404992,21894000,2.604881,383894765.689230,0.383895
pointer_chase_llc,pointer,384,393216,256,171,8404992,26314417,3.130808,319406354.319003,0.319406
pointer_chase_llc,pointer,512,524288,64,128,8388608,15882292,1.893317,528173641.436639,0.528174
pointer_chase_llc,pointer,512,524288,128,128,8388608,22404667,2.670844,374413420.203924,0.374413
pointer_chase_llc,pointer,512,524288,256,128,8388608,26166041,3.119235,320591410.829021,0.320591
pointer_chase_llc,pointer,768,786432,64,86,8454144,15978167,1.889980,529105998.203674,0.529106
pointer_chase_llc,pointer,768,786432,128,86,8454144,21799667,2.578578,387810694.539508,0.387811
pointer_chase_llc,pointer,768,786432,256,86,8454144,25575209,3.025168,330560113.897798,0.330560
pointer_chase_llc,pointer,1024,1048576,64,64,8388608,15545208,1.853133,539626616.768331,0.539627
pointer_chase_llc,pointer,1024,1048576,128,64,8388608,21607125,2.575770,388233418.374726,0.388233
pointer_chase_llc,pointer,1024,1048576,256,64,8388608,26966542,3.214662,311074664.300673,0.311075
pointer_chase_llc,pointer,1536,1572864,64,43,8454144,17461500,2.065437,484159092.861438,0.484159
pointer_chase_llc,pointer,1536,1572864,128,43,8454144,21889416,2.589194,386220628.270759,0.386221
pointer_chase_llc,pointer,1536,1572864,256,43,8454144,26354584,3.117357,320784573.947363,0.320785
pointer_chase_llc,pointer,2048,2097152,64,32,8388608,15672458,1.868303,535245205.314954,0.535245
pointer_chase_llc,pointer,2048,2097152,128,32,8388608,21688125,2.585426,386783458.689951,0.386783
pointer_chase_llc,pointer,2048,2097152,256,32,8388608,25802916,3.075947,325103100.750318,0.325103
pointer_chase_llc,pointer,3072,3145728,64,22,8650752,16387250,1.894315,527895284.443699,0.527895
pointer_chase_llc,pointer,3072,3145728,128,22,8650752,23804208,2.751692,363412720.977736,0.363413
pointer_chase_llc,pointer,3072,3145728,256,22,8650752,25437542,2.940501,340078141.197762,0.340078
pointer_chase_llc,pointer,4096,4194304,64,16,8388608,17870625,2.130345,469407645.227853,0.469408
pointer_chase_llc,pointer,4096,4194304,128,16,8388608,22350792,2.664422,375315917.216714,0.375316
pointer_chase_llc,pointer,4096,4194304,256,16,8388608,25232000,3.007889,332459099.556119,0.332459
pointer_chase_llc,pointer,6144,6291456,64,11,8650752,17811375,2.058940,485686927.595427,0.485687
pointer_chase_llc,pointer,6144,6291456,128,11,8650752,26347084,3.045641,328338118.935667,0.328338
pointer_chase_llc,pointer,6144,6291456,256,11,8650752,30668750,3.545212,282070576.727125,0.282071
pointer_chase_llc,pointer,8192,8388608,64,8,8388608,18599875,2.217278,451003461.044765,0.451003
pointer_chase_llc,pointer,8192,8388608,128,8,8388608,28375791,3.382658,295625521.064770,0.295626
pointer_chase_llc,pointer,8192,8388608,256,8,8388608,42184833,5.028824,198853649.604350,0.198854
reuse_stride_hotset,reuse,64,65536,64,256,524288,2311416,4.408676,226825461.102631,0.226825
reuse_stride_hotset,reuse,64,65536,128,256,262144,2112125,8.057117,124113866.366811,0.124114
reuse_stride_hotset,reuse,64,65536,256,256,131072,2685791,20.490959,48802010.283004,0.048802
reuse_stride_hotset,reuse,96,98304,64,256,786432,3488167,4.435434,225457095.374161,0.225457
reuse_stride_hotset,reuse,96,98304,128,256,393216,3235583,8.228513,121528639.506389,0.121529
reuse_stride_hotset,reuse,96,98304,256,256,196608,4032041,20.508021,48761408.924165,0.048761
reuse_stride_hotset,reuse,128,131072,64,256,1048576,4652459,4.436931,225381029.687741,0.225381
reuse_stride_hotset,reuse,128,131072,128,256,524288,4231291,8.070547,123907337.027872,0.123907
reuse_stride_hotset,reuse,128,131072,256,256,262144,5540167,21.134060,47316985.210013,0.047317
reuse_stride_hotset,reuse,192,196608,64,256,1572864,6942042,4.413631,226570798.620925,0.226571
reuse_stride_hotset,reuse,192,196608,128,256,786432,6360792,8.088165,123637433.828995,0.123637
reuse_stride_hotset,reuse,192,196608,256,256,393216,8391833,21.341535,46856985.833727,0.046857
reuse_stride_hotset,reuse,256,262144,64,256,2097152,9297542,4.433414,225559830.759571,0.225560
reuse_stride_hotset,reuse,256,262144,128,256,1048576,8479500,8.086681,123660121.469426,0.123660
reuse_stride_hotset,reuse,256,262144,256,256,524288,10812417,20.623049,48489435.803299,0.048489
reuse_stride_hotset,reuse,384,393216,64,171,2101248,9291416,4.421856,226149383.473951,0.226149
reuse_stride_hotset,reuse,384,393216,128,171,1050624,8552584,8.140480,122842874.153589,0.122843
reuse_stride_hotset,reuse,384,393216,256,171,525312,10867250,20.687230,48339000.207044,0.048339
reuse_stride_hotset,reuse,512,524288,64,128,2097152,9290500,4.430056,225730800.279856,0.225731
reuse_stride_hotset,reuse,512,524288,128,128,1048576,8497250,8.103609,123401806.466798,0.123402
reuse_stride_hotset,reuse,512,524288,256,128,524288,10845917,20.686945,48339665.516526,0.048340
reuse_stride_hotset,reuse,768,786432,64,86,2113536,9367500,4.432146,225624339.471577,0.225624
reuse_stride_hotset,reuse,768,786432,128,86,1056768,8641292,8.177095,122292823.804588,0.122293
reuse_stride_hotset,reuse,768,786432,256,86,528384,10952125,20.727586,48244883.983702,0.048245
reuse_stride_hotset,reuse,1024,1048576,64,64,2097152,9269875,4.420221,226233039.819847,0.226233
reuse_stride_hotset,reuse,1024,1048576,128,64,1048576,8489417,8.096139,123515666.623515,0.123516
reuse_stride_hotset,reuse,1024,1048576,256,64,524288,10949625,20.884752,47881822.436841,0.047882
reuse_stride_hotset,reuse,1536,1572864,64,43,2113536,9384000,4.439953,225227621.483376,0.225228
reuse_stride_hotset,reuse,1536,1572864,128,43,1056768,8562208,8.102259,123422369.557011,0.123422
reuse_stride_hotset,reuse,1536,1572864,256,43,528384,10982709,20.785469,48110534.477423,0.048111
reuse_stride_hotset,reuse,2048,2097152,64,32,2097152,9285583,4.427711,225850331.637766,0.225850
reuse_stride_hotset,reuse,2048,2097152,128,32,1048576,8572083,8.174975,122324527.189016,0.122325
reuse_stride_hotset,reuse,2048,2097152,256,32,524288,10882334,20.756405,48177900.071804,0.048178
reuse_stride_hotset,reuse,3072,3145728,64,22,2162688,9574709,4.427226,225875063.148133,0.225875
reuse_stride_hotset,reuse,3072,3145728,128,22,1081344,8962000,8.287834,120658781.521982,0.120659
reuse_stride_hotset,reuse,3072,3145728,256,22,540672,12507833,23.133865,43226672.437983,0.043227
