binary,source,mnemonic,count
sm_apple_cpu_latency_O3,objdump,ret,1
sm_apple_cpu_latency_O3,objdump,stp,22
sm_apple_cpu_latency_O3,objdump,str,5
sm_apple_cpu_latency_O3,objdump,sub,4
sm_apple_cpu_latency_O3,objdump,subs,3
sm_apple_cpu_latency_O3,objdump,sxtw,1
sm_apple_cpu_latency_O3,objdump,tbz,1
sm_apple_cpu_latency_O3,objdump,ucvtf,7
sm_apple_cpu_latency_O3,objdump,udiv,6
sm_apple_cpu_latency_O3,otool,add,63
sm_apple_cpu_latency_O3,otool,adrp,29
sm_apple_cpu_latency_O3,otool,b,8
sm_apple_cpu_latency_O3,otool,b.eq,3
sm_apple_cpu_latency_O3,otool,b.ge,1
sm_apple_cpu_latency_O3,otool,b.le,3
sm_apple_cpu_latency_O3,otool,b.lt,3
sm_apple_cpu_latency_O3,otool,b.ne,6
sm_apple_cpu_latency_O3,otool,bl,25
sm_apple_cpu_latency_O3,otool,cbnz,16
sm_apple_cpu_latency_O3,otool,cbz,9
sm_apple_cpu_latency_O3,otool,ccmp,1
sm_apple_cpu_latency_O3,otool,cmp,10
sm_apple_cpu_latency_O3,otool,fadd,32
sm_apple_cpu_latency_O3,otool,fcmp,3
sm_apple_cpu_latency_O3,otool,fdiv,6
sm_apple_cpu_latency_O3,otool,fmadd,32
sm_apple_cpu_latency_O3,otool,fmov,8
sm_apple_cpu_latency_O3,otool,fmul,1
sm_apple_cpu_latency_O3,otool,ldp,15
sm_apple_cpu_latency_O3,otool,ldr,14
sm_apple_cpu_latency_O3,otool,mov,37
sm_apple_cpu_latency_O3,otool,movi,6
sm_apple_cpu_latency_O3,otool,movk,3
sm_apple_cpu_latency_O3,otool,mul,6
sm_apple_cpu_latency_O3,otool,ret,1
sm_apple_cpu_latency_O3,otool,stp,22
sm_apple_cpu_latency_O3,otool,str,5
sm_apple_cpu_latency_O3,otool,sub,4
sm_apple_cpu_latency_O3,otool,subs,3
sm_apple_cpu_latency_O3,otool,sxtw,1
sm_apple_cpu_latency_O3,otool,tbz,1
sm_apple_cpu_latency_O3,otool,ucvtf,7
sm_apple_cpu_latency_O3,otool,udiv,6
sm_apple_cpu_latency_Ofast,objdump,add,64
sm_apple_cpu_latency_Ofast,objdump,adrp,29
sm_apple_cpu_latency_Ofast,objdump,b,8
sm_apple_cpu_latency_Ofast,objdump,b.eq,3
sm_apple_cpu_latency_Ofast,objdump,b.ge,1
sm_apple_cpu_latency_Ofast,objdump,b.le,3
sm_apple_cpu_latency_Ofast,objdump,b.lt,3
sm_apple_cpu_latency_Ofast,objdump,b.ne,6
sm_apple_cpu_latency_Ofast,objdump,bl,25
sm_apple_cpu_latency_Ofast,objdump,cbnz,16
sm_apple_cpu_latency_Ofast,objdump,cbz,9
sm_apple_cpu_latency_Ofast,objdump,ccmp,1
sm_apple_cpu_latency_Ofast,objdump,cmp,10
sm_apple_cpu_latency_Ofast,objdump,fadd,32
sm_apple_cpu_latency_Ofast,objdump,fcmp,3
sm_apple_cpu_latency_Ofast,objdump,fdiv,6
sm_apple_cpu_latency_Ofast,objdump,fmadd,32
sm_apple_cpu_latency_Ofast,objdump,fmov,8
sm_apple_cpu_latency_Ofast,objdump,fmul,1
sm_apple_cpu_latency_Ofast,objdump,ldp,15
sm_apple_cpu_latency_Ofast,objdump,ldr,14
sm_apple_cpu_latency_Ofast,objdump,mov,37
sm_apple_cpu_latency_Ofast,objdump,movi,6
sm_apple_cpu_latency_Ofast,objdump,movk,3
sm_apple_cpu_latency_Ofast,objdump,mul,6
sm_apple_cpu_latency_Ofast,objdump,ret,1
sm_apple_cpu_latency_Ofast,objdump,stp,22
