counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
MMU Limiter,int16,81527,0.000,0.051,3.115,26.432,72.105,1.253
MMU Utilization,int16,81527,0.000,0.051,2.719,13.237,33.180,0.860
Partial Renders,int16,81527,0.000,0.000,0.000,0.000,3.000,0.001
TG/IB Load Limiter,int16,81527,0.000,0.000,1.197,8.104,31.053,0.461
TG/IB Load Utilization,int16,81527,0.000,0.000,1.051,6.762,17.185,0.390
TG/IB Store Limiter,int16,81527,0.000,0.000,1.197,8.104,31.053,0.461
TG/IB Store Utilization,int16,81527,0.000,0.000,2.247,11.330,24.401,0.741
Texture Cache Limiter,int16,81527,0.000,0.000,7.042,60.661,100.000,2.842
Texture Filtering Limiter,int16,81527,0.000,0.000,9.576,27.080,88.162,2.209
Texture Sample Limiter,int16,81527,0.000,0.000,13.530,64.895,100.000,3.778
Texture Sample Utilization,int16,81527,0.000,0.000,9.327,26.650,49.859,2.148
Texture Write Limiter,int16,81527,0.000,0.006,10.693,43.893,100.000,3.011
Texture Write Utilization,int16,81527,0.000,0.006,9.574,36.606,100.000,2.604
Top Performance Limiter,int16,81524,0.000,0.115,34.469,98.733,100.000,8.604
Total Occupancy,int16,56529,0.000,0.100,56.442,96.829,117.183,12.417
Vertex Occupancy,int16,81527,0.000,0.000,0.014,2.206,14.206,0.082
ALU Limiter,int32,63497,0.000,0.030,0.060,28.737,90.453,0.803
ALU Utilization,int32,63497,0.000,0.027,0.055,25.268,78.941,0.719
Buffer Load Utilization,int32,63497,0.000,0.004,0.008,0.317,1.798,0.014
Buffer Read Limiter,int32,63497,0.000,0.004,0.008,0.318,1.812,0.014
Buffer Store Utilization,int32,63497,0.000,0.037,0.037,0.073,0.352,0.025
Buffer Write Limiter,int32,63497,0.000,0.037,0.037,0.073,0.352,0.025
Compute Occupancy,int32,63497,0.000,0.033,0.033,0.345,3.231,0.032
F16 Utilization,int32,63497,0.000,0.000,0.000,7.980,25.110,0.196
F32 Utilization,int32,63497,0.000,0.000,0.001,5.636,9.088,0.153
Fragment Interp Limiter,int32,63497,0.000,0.000,0.000,4.084,25.567,0.142
Fragment Interp Utilization,int32,63497,0.000,0.000,0.000,2.507,18.352,0.086
Fragment Occupancy,int32,63497,0.000,0.000,0.000,40.415,100.000,1.350
GPU Read Bandwidth,int32,63497,0.000,0.021,0.041,10.189,39.435,0.363
GPU Write Bandwidth,int32,63497,0.000,0.082,0.101,5.450,49.851,0.291
LLC Limiter,int32,63497,0.000,0.115,0.218,13.252,54.151,0.590
LLC Utilization,int32,63497,0.000,0.115,0.218,11.280,36.448,0.436
MMU Limiter,int32,63497,0.000,0.051,0.090,9.971,45.663,0.385
MMU Utilization,int32,63497,0.000,0.051,0.090,8.928,35.495,0.324
Partial Renders,int32,63497,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,int32,63497,0.000,0.000,0.000,2.213,10.479,0.073
TG/IB Load Utilization,int32,63497,0.000,0.000,0.000,1.883,9.808,0.062
TG/IB Store Limiter,int32,63497,0.000,0.000,0.000,2.213,10.479,0.073
TG/IB Store Utilization,int32,63497,0.000,0.000,0.000,5.417,17.076,0.161
Texture Cache Limiter,int32,63497,0.000,0.000,0.000,11.226,97.508,0.579
Texture Filtering Limiter,int32,63497,0.000,0.000,0.000,13.056,49.271,0.396
Texture Sample Limiter,int32,63497,0.000,0.000,0.000,16.580,98.201,0.717
Texture Sample Utilization,int32,63497,0.000,0.000,0.000,11.960,49.371,0.381
Texture Write Limiter,int32,63497,0.000,0.006,0.012,22.146,99.796,0.621
Texture Write Utilization,int32,63497,0.000,0.006,0.012,16.546,97.898,0.491
Top Performance Limiter,int32,63494,0.000,0.115,0.218,36.470,99.796,1.305
Total Occupancy,int32,46582,0.000,0.033,0.420,58.655,100.048,1.888
Vertex Occupancy,int32,63497,0.000,0.000,0.000,0.094,0.640,0.003
ALU Limiter,int4,63367,0.000,0.030,0.032,11.437,92.417,0.397
ALU Utilization,int4,63367,0.000,0.027,0.028,10.218,81.325,0.357
Buffer Load Utilization,int4,63367,0.000,0.003,0.003,0.100,1.433,0.005
Buffer Read Limiter,int4,63367,0.000,0.003,0.003,0.100,1.433,0.005
Buffer Store Utilization,int4,63367,0.000,0.037,0.037,0.037,0.396,0.028
Buffer Write Limiter,int4,63367,0.000,0.037,0.037,0.037,0.398,0.028
Compute Occupancy,int4,63367,0.000,0.035,0.035,0.043,5.919,0.032
F16 Utilization,int4,63367,0.000,0.000,0.000,1.950,25.713,0.093
F32 Utilization,int4,63367,0.000,0.000,0.000,2.364,25.433,0.065
Fragment Interp Limiter,int4,63367,0.000,0.000,0.000,2.067,25.229,0.082
Fragment Interp Utilization,int4,63367,0.000,0.000,0.000,1.070,18.649,0.053
Fragment Occupancy,int4,63367,0.000,0.000,0.000,28.408,100.000,0.763
GPU Read Bandwidth,int4,63367,0.000,0.020,0.020,4.938,37.936,0.226
GPU Write Bandwidth,int4,63367,0.000,0.082,0.082,3.792,65.676,0.209
LLC Limiter,int4,63367,0.000,0.112,0.114,7.297,52.513,0.372
LLC Utilization,int4,63367,0.000,0.112,0.114,6.258,34.358,0.291
MMU Limiter,int4,63367,0.000,0.050,0.050,4.905,41.494,0.252
MMU Utilization,int4,63367,0.000,0.050,0.050,4.571,33.422,0.217
Partial Renders,int4,63367,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,int4,63367,0.000,0.000,0.000,1.000,9.917,0.036
TG/IB Load Utilization,int4,63367,0.000,0.000,0.000,0.890,9.346,0.031
TG/IB Store Limiter,int4,63367,0.000,0.000,0.000,1.000,9.917,0.036
TG/IB Store Utilization,int4,63367,0.000,0.000,0.000,3.541,15.990,0.101
Texture Cache Limiter,int4,63367,0.000,0.000,0.000,6.816,96.478,0.299
Texture Filtering Limiter,int4,63367,0.000,0.000,0.000,9.467,49.962,0.236
Texture Sample Limiter,int4,63367,0.000,0.000,0.000,11.128,99.660,0.405
Texture Sample Utilization,int4,63367,0.000,0.000,0.000,8.793,49.973,0.234
Texture Write Limiter,int4,63367,0.000,0.006,0.006,15.600,100.000,0.428
Texture Write Utilization,int4,63367,0.000,0.006,0.006,13.533,100.000,0.368
Top Performance Limiter,int4,63364,0.000,0.112,0.114,26.902,100.000,0.768
Total Occupancy,int4,49047,0.000,0.035,0.035,41.487,100.269,1.027
Vertex Occupancy,int4,63367,0.000,0.000,0.000,0.016,0.380,0.001
ALU Limiter,int64,63450,0.000,0.069,0.129,28.694,90.950,0.787
ALU Utilization,int64,63450,0.000,0.055,0.110,25.173,80.329,0.695
Buffer Load Utilization,int64,63450,0.000,0.004,0.010,0.365,2.113,0.017
Buffer Read Limiter,int64,63450,0.000,0.004,0.010,0.365,2.116,0.017
Buffer Store Utilization,int64,63450,0.000,0.037,0.037,0.073,0.312,0.028
Buffer Write Limiter,int64,63450,0.000,0.037,0.037,0.073,0.312,0.028
Compute Occupancy,int64,63450,0.000,0.038,0.042,0.354,3.384,0.039
F16 Utilization,int64,63450,0.000,0.000,0.008,7.983,25.496,0.188
F32 Utilization,int64,63450,0.000,0.000,0.024,5.462,9.088,0.143
Fragment Interp Limiter,int64,63450,0.000,0.000,0.000,3.560,25.425,0.136
Fragment Interp Utilization,int64,63450,0.000,0.000,0.000,2.112,18.537,0.077
Fragment Occupancy,int64,63450,0.000,0.000,0.109,31.349,100.000,1.014
GPU Read Bandwidth,int64,63450,0.000,0.021,0.117,5.894,39.279,0.271
GPU Write Bandwidth,int64,63450,0.000,0.082,0.114,3.927,52.490,0.247
LLC Limiter,int64,63450,0.000,0.116,0.229,7.697,53.099,0.443
LLC Utilization,int64,63450,0.000,0.116,0.229,6.929,33.467,0.378
MMU Limiter,int64,63450,0.000,0.051,0.123,5.305,43.775,0.274
MMU Utilization,int64,63450,0.000,0.051,0.123,5.067,31.276,0.254
Partial Renders,int64,63450,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,int64,63450,0.000,0.000,0.000,2.070,9.811,0.068
TG/IB Load Utilization,int64,63450,0.000,0.000,0.000,1.762,9.261,0.058
TG/IB Store Limiter,int64,63450,0.000,0.000,0.000,2.070,9.811,0.068
TG/IB Store Utilization,int64,63450,0.000,0.000,0.021,3.565,15.665,0.138
Texture Cache Limiter,int64,63450,0.000,0.000,0.012,8.813,96.042,0.313
Texture Filtering Limiter,int64,63450,0.000,0.000,0.035,10.495,49.738,0.350
Texture Sample Limiter,int64,63450,0.000,0.000,0.038,13.328,97.726,0.467
Texture Sample Utilization,int64,63450,0.000,0.000,0.038,10.065,49.746,0.336
Texture Write Limiter,int64,63450,0.000,0.006,0.095,12.684,99.957,0.492
Texture Write Utilization,int64,63450,0.000,0.006,0.095,11.375,99.330,0.438
Top Performance Limiter,int64,63447,0.000,0.116,0.250,31.299,99.957,1.043
Total Occupancy,int64,53788,0.000,0.038,0.363,33.290,100.043,1.248
Vertex Occupancy,int64,63450,0.000,0.000,0.001,0.101,0.727,0.004
ALU Limiter,uint16,62677,0.000,0.015,0.224,29.048,84.329,0.858
ALU Utilization,uint16,62677,0.000,0.013,0.209,25.711,76.749,0.766
Buffer Load Utilization,uint16,62677,0.000,0.004,0.020,0.414,2.057,0.018
Buffer Read Limiter,uint16,62677,0.000,0.004,0.020,0.414,2.064,0.018
Buffer Store Utilization,uint16,62677,0.000,0.037,0.037,0.037,0.368,0.023
Buffer Write Limiter,uint16,62677,0.000,0.037,0.037,0.037,0.368,0.023
Compute Occupancy,uint16,62677,0.000,0.032,0.032,0.402,3.686,0.041
F16 Utilization,uint16,62677,0.000,0.000,0.025,7.968,26.005,0.221
F32 Utilization,uint16,62677,0.000,0.000,0.040,5.736,9.088,0.181
Fragment Interp Limiter,uint16,62677,0.000,0.000,0.019,3.710,26.728,0.139
Fragment Interp Utilization,uint16,62677,0.000,0.000,0.010,2.264,14.163,0.075
Fragment Occupancy,uint16,62677,0.000,0.000,0.354,33.745,100.000,1.280
GPU Read Bandwidth,uint16,62677,0.000,0.021,0.186,6.539,33.964,0.297
GPU Write Bandwidth,uint16,62677,0.000,0.082,0.128,4.505,53.845,0.268
LLC Limiter,uint16,62677,0.000,0.115,0.315,10.053,52.314,0.531
LLC Utilization,uint16,62677,0.000,0.115,0.315,8.569,31.354,0.411
MMU Limiter,uint16,62677,0.000,0.050,0.161,6.246,39.886,0.321
MMU Utilization,uint16,62677,0.000,0.050,0.161,5.769,30.246,0.284
Partial Renders,uint16,62677,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,uint16,62677,0.000,0.000,0.001,2.301,10.262,0.081
TG/IB Load Utilization,uint16,62677,0.000,0.000,0.001,1.863,9.445,0.066
TG/IB Store Limiter,uint16,62677,0.000,0.000,0.001,2.301,10.262,0.081
TG/IB Store Utilization,uint16,62677,0.000,0.000,0.058,4.582,14.780,0.161
Texture Cache Limiter,uint16,62677,0.000,0.000,0.055,9.625,97.873,0.413
Texture Filtering Limiter,uint16,62677,0.000,0.000,0.098,11.097,43.173,0.387
Texture Sample Limiter,uint16,62677,0.000,0.000,0.101,14.438,97.740,0.554
Texture Sample Utilization,uint16,62677,0.000,0.000,0.098,10.674,42.594,0.367
Texture Write Limiter,uint16,62677,0.000,0.006,0.204,17.049,100.000,0.598
Texture Write Utilization,uint16,62677,0.000,0.006,0.202,13.480,86.691,0.488
Top Performance Limiter,uint16,62674,0.000,0.115,0.356,31.762,100.000,1.218
Total Occupancy,uint16,45791,0.000,0.032,0.679,42.565,100.066,1.813
Vertex Occupancy,uint16,62677,0.000,0.000,0.004,0.109,0.729,0.004
ALU Limiter,uint32,63510,0.000,0.030,0.032,10.945,100.000,0.409
ALU Utilization,uint32,63510,0.000,0.027,0.028,10.375,78.018,0.367
Buffer Load Utilization,uint32,63510,0.000,0.004,0.004,0.132,1.293,0.007
Buffer Read Limiter,uint32,63510,0.000,0.004,0.004,0.132,1.293,0.007
Buffer Store Utilization,uint32,63510,0.000,0.037,0.037,0.037,0.424,0.030
Buffer Write Limiter,uint32,63510,0.000,0.037,0.037,0.037,0.424,0.030
Compute Occupancy,uint32,63510,0.000,0.037,0.048,0.070,60.289,0.047
F16 Utilization,uint32,63510,0.000,0.000,0.000,2.126,26.262,0.093
F32 Utilization,uint32,63510,0.000,0.000,0.000,2.116,25.013,0.067
Fragment Interp Limiter,uint32,63510,0.000,0.000,0.000,2.590,29.643,0.100
Fragment Interp Utilization,uint32,63510,0.000,0.000,0.000,1.480,14.339,0.052
Fragment Occupancy,uint32,63510,0.000,0.000,0.000,32.643,100.000,0.795
GPU Read Bandwidth,uint32,63510,0.000,0.021,0.021,6.540,38.006,0.241
GPU Write Bandwidth,uint32,63510,0.000,0.082,0.082,4.364,36.137,0.229
LLC Limiter,uint32,63510,0.000,0.115,0.116,9.062,55.202,0.409
LLC Utilization,uint32,63510,0.000,0.115,0.116,7.500,36.719,0.314
MMU Limiter,uint32,63510,0.000,0.051,0.051,6.163,42.106,0.265
MMU Utilization,uint32,63510,0.000,0.051,0.051,5.687,35.723,0.233
Partial Renders,uint32,63510,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,uint32,63510,0.000,0.000,0.000,1.184,10.140,0.039
TG/IB Load Utilization,uint32,63510,0.000,0.000,0.000,1.003,9.559,0.034
TG/IB Store Limiter,uint32,63510,0.000,0.000,0.000,1.184,10.140,0.039
TG/IB Store Utilization,uint32,63510,0.000,0.000,0.000,4.469,17.406,0.110
Texture Cache Limiter,uint32,63510,0.000,0.000,0.000,8.114,97.916,0.261
Texture Filtering Limiter,uint32,63510,0.000,0.000,0.000,9.811,49.905,0.237
Texture Sample Limiter,uint32,63510,0.000,0.000,0.000,12.260,99.762,0.363
Texture Sample Utilization,uint32,63510,0.000,0.000,0.000,9.801,49.923,0.236
Texture Write Limiter,uint32,63510,0.000,0.006,0.006,17.411,99.998,0.437
Texture Write Utilization,uint32,63510,0.000,0.006,0.006,13.841,99.998,0.362
Top Performance Limiter,uint32,63507,0.000,0.115,0.116,28.105,100.000,0.771
Total Occupancy,uint32,53100,0.000,0.037,0.048,42.544,100.000,1.009
Vertex Occupancy,uint32,63510,0.000,0.000,0.000,0.037,0.778,0.001
ALU Limiter,uint4,63191,0.000,0.021,0.022,19.884,92.694,0.647
ALU Utilization,uint4,63191,0.000,0.018,0.018,18.538,81.439,0.578
Buffer Load Utilization,uint4,63191,0.000,0.003,0.003,0.161,1.531,0.007
Buffer Read Limiter,uint4,63191,0.000,0.003,0.003,0.161,1.531,0.007
Buffer Store Utilization,uint4,63191,0.000,0.037,0.037,0.073,0.433,0.032
Buffer Write Limiter,uint4,63191,0.000,0.037,0.037,0.073,0.433,0.032
Compute Occupancy,uint4,63191,0.000,0.039,0.049,0.078,5.433,0.043
F16 Utilization,uint4,63191,0.000,0.000,0.000,4.196,25.700,0.157
F32 Utilization,uint4,63191,0.000,0.000,0.000,3.757,25.387,0.104
Fragment Interp Limiter,uint4,63191,0.000,0.000,0.000,4.572,25.580,0.141
Fragment Interp Utilization,uint4,63191,0.000,0.000,0.000,2.550,18.727,0.089
Fragment Occupancy,uint4,63191,0.000,0.000,0.000,53.137,100.000,1.181
GPU Read Bandwidth,uint4,63191,0.000,0.020,0.020,14.718,40.092,0.351
GPU Write Bandwidth,uint4,63191,0.000,0.082,0.082,6.102,33.386,0.283
LLC Limiter,uint4,63191,0.000,0.114,0.116,16.046,53.487,0.512
LLC Utilization,uint4,63191,0.000,0.114,0.116,13.783,35.067,0.411
MMU Limiter,uint4,63191,0.000,0.050,0.050,13.621,44.169,0.358
MMU Utilization,uint4,63191,0.000,0.050,0.050,11.799,34.129,0.315
Partial Renders,uint4,63191,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,uint4,63191,0.000,0.000,0.000,2.011,9.911,0.060
TG/IB Load Utilization,uint4,63191,0.000,0.000,0.000,1.619,9.371,0.051
TG/IB Store Limiter,uint4,63191,0.000,0.000,0.000,2.011,9.911,0.060
TG/IB Store Utilization,uint4,63191,0.000,0.000,0.000,6.620,16.248,0.159
Texture Cache Limiter,uint4,63191,0.000,0.000,0.000,11.014,97.085,0.451
Texture Filtering Limiter,uint4,63191,0.000,0.000,0.000,16.189,51.433,0.387
Texture Sample Limiter,uint4,63191,0.000,0.000,0.000,19.999,99.317,0.632
Texture Sample Utilization,uint4,63191,0.000,0.000,0.000,15.878,51.233,0.383
Texture Write Limiter,uint4,63191,0.000,0.006,0.006,29.399,100.000,0.670
Texture Write Utilization,uint4,63191,0.000,0.006,0.006,22.914,99.916,0.598
Top Performance Limiter,uint4,63188,0.000,0.114,0.116,42.866,100.000,1.186
Total Occupancy,uint4,54881,0.000,0.039,0.050,59.286,100.054,1.410
Vertex Occupancy,uint4,63191,0.000,0.000,0.000,0.038,0.408,0.001
ALU Limiter,uint64,63272,0.000,0.069,0.070,15.296,92.578,0.574
ALU Utilization,uint64,63272,0.000,0.055,0.055,14.510,81.404,0.509
Buffer Load Utilization,uint64,63272,0.000,0.004,0.004,0.164,2.781,0.008
Buffer Read Limiter,uint64,63272,0.000,0.004,0.004,0.164,2.788,0.008
Buffer Store Utilization,uint64,63272,0.000,0.037,0.037,0.037,0.387,0.030
Buffer Write Limiter,uint64,63272,0.000,0.037,0.037,0.037,0.388,0.030
Compute Occupancy,uint64,63272,0.000,0.043,0.054,0.087,5.435,0.043
F16 Utilization,uint64,63272,0.000,0.000,0.000,3.697,25.566,0.140
F32 Utilization,uint64,63272,0.000,0.000,0.000,2.659,25.673,0.075
Fragment Interp Limiter,uint64,63272,0.000,0.000,0.000,4.028,25.311,0.132
Fragment Interp Utilization,uint64,63272,0.000,0.000,0.000,2.325,18.639,0.086
Fragment Occupancy,uint64,63272,0.000,0.000,0.000,38.016,100.000,0.932
GPU Read Bandwidth,uint64,63272,0.000,0.021,0.021,11.336,38.997,0.300
GPU Write Bandwidth,uint64,63272,0.000,0.082,0.082,5.405,56.473,0.248
LLC Limiter,uint64,63272,0.000,0.115,0.116,12.481,52.248,0.447
LLC Utilization,uint64,63272,0.000,0.115,0.116,10.147,32.201,0.357
MMU Limiter,uint64,63272,0.000,0.051,0.051,11.467,49.067,0.314
MMU Utilization,uint64,63272,0.000,0.051,0.051,8.474,31.553,0.271
Partial Renders,uint64,63272,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,uint64,63272,0.000,0.000,0.000,1.816,20.939,0.069
TG/IB Load Utilization,uint64,63272,0.000,0.000,0.000,1.412,12.723,0.056
TG/IB Store Limiter,uint64,63272,0.000,0.000,0.000,1.816,20.939,0.069
TG/IB Store Utilization,uint64,63272,0.000,0.000,0.000,5.395,19.179,0.136
Texture Cache Limiter,uint64,63272,0.000,0.000,0.000,8.820,96.461,0.259
Texture Filtering Limiter,uint64,63272,0.000,0.000,0.000,12.174,50.022,0.291
Texture Sample Limiter,uint64,63272,0.000,0.000,0.000,14.737,99.237,0.405
Texture Sample Utilization,uint64,63272,0.000,0.000,0.000,11.900,50.012,0.289
Texture Write Limiter,uint64,63272,0.000,0.006,0.006,22.007,100.000,0.498
Texture Write Utilization,uint64,63272,0.000,0.006,0.006,18.563,99.943,0.439
Top Performance Limiter,uint64,63269,0.000,0.115,0.116,32.473,100.000,0.872
Total Occupancy,uint64,52325,0.000,0.044,0.057,50.184,100.044,1.179
Vertex Occupancy,uint64,63272,0.000,0.000,0.000,0.027,0.969,0.001
