baseline_variant,variant,counter,baseline_avg_pct,variant_avg_pct,avg_delta_pct,avg_ratio,baseline_p99_pct,variant_p99_pct,p99_delta_pct,baseline_peak_pct,variant_peak_pct,peak_delta_pct
float32,int64,ALU Utilization,0.722,0.695,-0.027,0.963,24.576,25.173,0.597,80.015,80.329,0.314
float32,int64,Compute Occupancy,0.042,0.039,-0.003,0.929,0.374,0.354,-0.020,3.419,3.384,-0.035
float32,int64,F16 Utilization,0.189,0.188,-0.001,0.995,7.827,7.983,0.156,25.411,25.496,0.085
float32,int64,F32 Utilization,0.169,0.143,-0.026,0.846,5.565,5.462,-0.103,9.082,9.088,0.006
float32,int64,Fragment Occupancy,1.297,1.014,-0.283,0.782,37.794,31.349,-6.445,99.108,100.000,0.892
float32,int64,GPU Read Bandwidth,0.386,0.271,-0.115,0.702,11.376,5.894,-5.482,45.261,39.279,-5.982
float32,int64,GPU Write Bandwidth,0.319,0.247,-0.072,0.774,6.283,3.927,-2.356,35.545,52.490,16.945
float32,int64,LLC Utilization,0.466,0.378,-0.088,0.811,12.126,6.929,-5.197,37.308,33.467,-3.841
float32,int64,Top Performance Limiter,1.280,1.043,-0.237,0.815,34.848,31.299,-3.549,97.747,99.957,2.210
float32,int64,Total Occupancy,1.652,1.248,-0.404,0.755,45.185,33.290,-11.895,99.108,100.043,0.935
float32,uint16,ALU Utilization,0.722,0.766,0.044,1.061,24.576,25.711,1.135,80.015,76.749,-3.266
float32,uint16,Compute Occupancy,0.042,0.041,-0.001,0.976,0.374,0.402,0.028,3.419,3.686,0.267
float32,uint16,F16 Utilization,0.189,0.221,0.032,1.169,7.827,7.968,0.141,25.411,26.005,0.594
float32,uint16,F32 Utilization,0.169,0.181,0.012,1.071,5.565,5.736,0.171,9.082,9.088,0.006
float32,uint16,Fragment Occupancy,1.297,1.280,-0.017,0.987,37.794,33.745,-4.049,99.108,100.000,0.892
float32,uint16,GPU Read Bandwidth,0.386,0.297,-0.089,0.769,11.376,6.539,-4.837,45.261,33.964,-11.297
float32,uint16,GPU Write Bandwidth,0.319,0.268,-0.051,0.840,6.283,4.505,-1.778,35.545,53.845,18.300
float32,uint16,LLC Utilization,0.466,0.411,-0.055,0.882,12.126,8.569,-3.557,37.308,31.354,-5.954
float32,uint16,Top Performance Limiter,1.280,1.218,-0.062,0.952,34.848,31.762,-3.086,97.747,100.000,2.253
float32,uint16,Total Occupancy,1.652,1.813,0.161,1.097,45.185,42.565,-2.620,99.108,100.066,0.958
float32,uint32,ALU Utilization,0.722,0.367,-0.355,0.508,24.576,10.375,-14.201,80.015,78.018,-1.997
float32,uint32,Compute Occupancy,0.042,0.047,0.005,1.119,0.374,0.070,-0.304,3.419,60.289,56.870
float32,uint32,F16 Utilization,0.189,0.093,-0.096,0.492,7.827,2.126,-5.701,25.411,26.262,0.851
float32,uint32,F32 Utilization,0.169,0.067,-0.102,0.396,5.565,2.116,-3.449,9.082,25.013,15.931
float32,uint32,Fragment Occupancy,1.297,0.795,-0.502,0.613,37.794,32.643,-5.151,99.108,100.000,0.892
float32,uint32,GPU Read Bandwidth,0.386,0.241,-0.145,0.624,11.376,6.540,-4.836,45.261,38.006,-7.255
float32,uint32,GPU Write Bandwidth,0.319,0.229,-0.090,0.718,6.283,4.364,-1.919,35.545,36.137,0.592
float32,uint32,LLC Utilization,0.466,0.314,-0.152,0.674,12.126,7.500,-4.626,37.308,36.719,-0.589
float32,uint32,Top Performance Limiter,1.280,0.771,-0.509,0.602,34.848,28.105,-6.743,97.747,100.000,2.253
float32,uint32,Total Occupancy,1.652,1.009,-0.643,0.611,45.185,42.544,-2.641,99.108,100.000,0.892
float32,uint4,ALU Utilization,0.722,0.578,-0.144,0.801,24.576,18.538,-6.038,80.015,81.439,1.424
float32,uint4,Compute Occupancy,0.042,0.043,0.001,1.024,0.374,0.078,-0.296,3.419,5.433,2.014
float32,uint4,F16 Utilization,0.189,0.157,-0.032,0.831,7.827,4.196,-3.631,25.411,25.700,0.289
float32,uint4,F32 Utilization,0.169,0.104,-0.065,0.615,5.565,3.757,-1.808,9.082,25.387,16.305
float32,uint4,Fragment Occupancy,1.297,1.181,-0.116,0.911,37.794,53.137,15.343,99.108,100.000,0.892
float32,uint4,GPU Read Bandwidth,0.386,0.351,-0.035,0.909,11.376,14.718,3.342,45.261,40.092,-5.169
float32,uint4,GPU Write Bandwidth,0.319,0.283,-0.036,0.887,6.283,6.102,-0.181,35.545,33.386,-2.159
float32,uint4,LLC Utilization,0.466,0.411,-0.055,0.882,12.126,13.783,1.657,37.308,35.067,-2.241
float32,uint4,Top Performance Limiter,1.280,1.186,-0.094,0.927,34.848,42.866,8.018,97.747,100.000,2.253
float32,uint4,Total Occupancy,1.652,1.410,-0.242,0.854,45.185,59.286,14.101,99.108,100.054,0.946
float32,uint64,ALU Utilization,0.722,0.509,-0.213,0.705,24.576,14.510,-10.066,80.015,81.404,1.389
float32,uint64,Compute Occupancy,0.042,0.043,0.001,1.024,0.374,0.087,-0.287,3.419,5.435,2.016
float32,uint64,F16 Utilization,0.189,0.140,-0.049,0.741,7.827,3.697,-4.130,25.411,25.566,0.155
float32,uint64,F32 Utilization,0.169,0.075,-0.094,0.444,5.565,2.659,-2.906,9.082,25.673,16.591
float32,uint64,Fragment Occupancy,1.297,0.932,-0.365,0.719,37.794,38.016,0.222,99.108,100.000,0.892
float32,uint64,GPU Read Bandwidth,0.386,0.300,-0.086,0.777,11.376,11.336,-0.040,45.261,38.997,-6.264
float32,uint64,GPU Write Bandwidth,0.319,0.248,-0.071,0.777,6.283,5.405,-0.878,35.545,56.473,20.928
float32,uint64,LLC Utilization,0.466,0.357,-0.109,0.766,12.126,10.147,-1.979,37.308,32.201,-5.107
float32,uint64,Top Performance Limiter,1.280,0.872,-0.408,0.681,34.848,32.473,-2.375,97.747,100.000,2.253
float32,uint64,Total Occupancy,1.652,1.179,-0.473,0.714,45.185,50.184,4.999,99.108,100.044,0.936
