mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VDIVSS,"xmm,xmm",128,fp32,5.6352,1.5253,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDPPS,"xmm,xmm",128,fp32,5.5279,2.0085,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDPPS,"ymm,ymm",256,fp32,5.4731,1.9904,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHADDPD,"xmm,xmm",128,fp64,2.1917,0.9905,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHADDPD,"ymm,ymm",256,fp64,2.2365,0.9905,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHADDPS,"xmm,xmm",128,fp32,2.2363,1.0039,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHADDPS,"ymm,ymm",256,fp32,2.3946,0.9954,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHSUBPD,"xmm,xmm",128,fp64,2.1925,1.0750,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHSUBPD,"ymm,ymm",256,fp64,2.2267,1.0546,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHSUBPS,"xmm,xmm",128,fp32,2.2202,1.0035,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VHSUBPS,"ymm,ymm",256,fp32,2.2110,0.9953,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXPD,"xmm,xmm",128,fp64,0.9906,0.2476,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXPD,"ymm,ymm",256,fp64,0.9902,0.2477,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXPS,"xmm,xmm",128,fp32,1.0056,0.2515,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXPS,"ymm,ymm",256,fp32,1.0112,0.2521,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXSD,"xmm,xmm",128,fp64,1.2204,0.2491,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMAXSS,"xmm,xmm",128,fp32,1.4300,0.2550,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINPD,"xmm,xmm",128,fp64,0.9904,0.2477,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINPD,"ymm,ymm",256,fp64,0.9904,0.2477,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINPS,"xmm,xmm",128,fp32,1.9917,0.2556,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINPS,"ymm,ymm",256,fp32,1.0079,0.2515,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINSD,"xmm,xmm",128,fp64,0.9954,0.2489,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMINSS,"xmm,xmm",128,fp32,1.0277,0.2539,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULPD,"xmm,xmm",128,fp64,1.4854,0.2476,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULPD,"ymm,ymm",256,fp64,1.4856,0.2478,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULPS,"xmm,xmm",128,fp32,1.5079,0.2515,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULPS,"ymm,ymm",256,fp32,1.8227,0.2544,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULSD,"xmm,xmm",128,fp64,1.4927,0.2490,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VMULSS,"xmm,xmm",128,fp32,1.5227,0.2546,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRCPPS,xmm,128,fp32,2.0162,0.2524,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRCPPS,ymm,256,fp32,2.4015,0.2490,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VRCPSS,"xmm,xmm",128,fp32,2.1910,0.2518,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VROUNDPD,xmm,128,fp64,1.4852,0.2478,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VROUNDPD,ymm,256,fp64,1.5148,0.2518,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
