probe=simd_fp_exhaustive
iterations=30000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring SIMD floating-point instruction forms...

Total instruction forms: 161

mnemonic,operands,precision,width_bits,latency_cycles,throughput_cycles,category
VHADDPS,xmm,xmm,fp32,128,2.2363,1.0039,fp_arith
VHSUBPS,xmm,xmm,fp32,128,2.2202,1.0035,fp_arith
VDPPS,xmm,xmm,fp32,128,5.5279,2.0085,fp_arith
VCMPPS,xmm,xmm,fp32,128,1.0046,0.2507,fp_arith
VFMADD231PS,xmm,xmm,xmm,fp32,128,2.0119,0.2711,fma
VFMSUB231PS,xmm,xmm,xmm,fp32,128,2.2344,0.2716,fma
VFNMADD231PS,xmm,xmm,xmm,fp32,128,2.0233,0.2721,fma
VFNMSUB231PS,xmm,xmm,xmm,fp32,128,2.2067,0.2721,fma
VADDPS,ymm,ymm,fp32,256,1.5198,0.2603,fp_arith
VSUBPS,ymm,ymm,fp32,256,1.5200,0.2536,fp_arith
VMULPS,ymm,ymm,fp32,256,1.8227,0.2544,fp_arith
VDIVPS,ymm,ymm,fp32,256,5.5677,1.5115,fp_arith
VMAXPS,ymm,ymm,fp32,256,1.0112,0.2521,fp_arith
VMINPS,ymm,ymm,fp32,256,1.0079,0.2515,fp_arith
VSQRTPS,ymm,fp32,256,7.5673,2.6211,fp_arith
VRSQRTPS,ymm,fp32,256,2.0975,0.2491,fp_arith
VRCPPS,ymm,fp32,256,2.4015,0.2490,fp_arith
VROUNDPS,ymm,fp32,256,1.4929,0.2490,fp_arith
VHADDPS,ymm,ymm,fp32,256,2.3946,0.9954,fp_arith
VHSUBPS,ymm,ymm,fp32,256,2.2110,0.9953,fp_arith
VDPPS,ymm,ymm,fp32,256,5.4731,1.9904,fp_arith
VCMPPS,ymm,ymm,fp32,256,0.9952,0.2490,fp_arith
VFMADD231PS,ymm,ymm,ymm,fp32,256,1.9902,0.2667,fma
VFMSUB231PS,ymm,ymm,ymm,fp32,256,1.9902,0.2668,fma
VFNMADD231PS,ymm,ymm,ymm,fp32,256,1.9988,0.2668,fma
VFNMSUB231PS,ymm,ymm,ymm,fp32,256,1.9904,0.2667,fma
VADDSD,xmm,xmm,fp64,128,1.4927,0.2490,fp_arith
VSUBSD,xmm,xmm,fp64,128,1.4925,0.2491,fp_arith
VMULSD,xmm,xmm,fp64,128,1.4927,0.2490,fp_arith
VDIVSD,xmm,xmm,fp64,128,6.4679,2.5519,fp_arith
VMAXSD,xmm,xmm,fp64,128,1.2204,0.2491,fp_arith
VMINSD,xmm,xmm,fp64,128,0.9954,0.2489,fp_arith
VSQRTSD,xmm,xmm,fp64,128,10.4598,4.1985,fp_arith
VROUNDSD,xmm,xmm,fp64,128,1.5002,0.2502,fp_arith
VCMPSD,xmm,xmm,fp64,128,0.9994,0.2505,fp_arith
VFMADD231SD,xmm,xmm,xmm,fp64,128,1.9979,0.4710,fma
VADDPD,xmm,xmm,fp64,128,1.5929,0.2479,fp_arith
VSUBPD,xmm,xmm,fp64,128,1.4858,0.2476,fp_arith
VMULPD,xmm,xmm,fp64,128,1.4854,0.2476,fp_arith
VDIVPD,xmm,xmm,fp64,128,6.8487,2.4790,fp_arith
VMAXPD,xmm,xmm,fp64,128,0.9906,0.2476,fp_arith
VMINPD,xmm,xmm,fp64,128,0.9904,0.2477,fp_arith
VSQRTPD,xmm,fp64,128,10.4015,4.1685,fp_arith
VROUNDPD,xmm,fp64,128,1.4852,0.2478,fp_arith
VHADDPD,xmm,xmm,fp64,128,2.1917,0.9905,fp_arith
VHSUBPD,xmm,xmm,fp64,128,2.1925,1.0750,fp_arith
VCMPPD,xmm,xmm,fp64,128,0.9904,0.2478,fp_arith
VFMADD231PD,xmm,xmm,xmm,fp64,128,1.9810,0.2739,fma
VADDPD,ymm,ymm,fp64,256,1.4867,0.2478,fp_arith
VSUBPD,ymm,ymm,fp64,256,1.4856,0.2478,fp_arith
VMULPD,ymm,ymm,fp64,256,1.4856,0.2478,fp_arith
VDIVPD,ymm,ymm,fp64,256,6.4404,2.4754,fp_arith
VMAXPD,ymm,ymm,fp64,256,0.9902,0.2477,fp_arith
VMINPD,ymm,ymm,fp64,256,0.9904,0.2477,fp_arith
VSQRTPD,ymm,fp64,256,12.3944,4.2420,fp_arith
VROUNDPD,ymm,fp64,256,1.5148,0.2518,fp_arith
VHADDPD,ymm,ymm,fp64,256,2.2365,0.9905,fp_arith
VHSUBPD,ymm,ymm,fp64,256,2.2267,1.0546,fp_arith
VCMPPD,ymm,ymm,fp64,256,0.9904,0.2477,fp_arith
VFMADD231PD,ymm,ymm,ymm,fp64,256,1.9804,0.2653,fma
VMOVAPS,xmm,xmm,fp32,128,0.1244,0.1240,move
VMOVAPD,xmm,xmm,fp64,128,0.1244,0.0932,move
VMOVAPS,ymm,ymm,fp32,256,0.1242,0.0930,move
VMOVAPD,ymm,ymm,fp64,256,0.2481,0.1241,move
VSHUFPS,xmm,xmm,fp32,128,0.4954,0.2104,shuffle
VSHUFPS,ymm,ymm,fp32,256,0.4954,0.2106,shuffle
VSHUFPD,xmm,xmm,fp64,128,0.4952,0.2105,shuffle
VSHUFPD,ymm,ymm,fp64,256,0.4954,0.2105,shuffle
VUNPCKLPS,xmm,xmm,fp32,128,0.4996,0.2401,shuffle
VUNPCKHPS,xmm,xmm,fp32,128,0.4954,0.2105,shuffle
VUNPCKLPD,xmm,xmm,fp64,128,0.4958,0.2106,shuffle
VUNPCKHPD,xmm,xmm,fp64,128,0.4954,0.2105,shuffle
VUNPCKLPS,ymm,ymm,fp32,256,0.4954,0.2105,shuffle
VUNPCKHPS,ymm,ymm,fp32,256,0.4954,0.2106,shuffle
VUNPCKLPD,ymm,ymm,fp64,256,0.4954,0.2105,shuffle
VUNPCKHPD,ymm,ymm,fp64,256,0.4956,0.2107,shuffle
VPERMILPS,xmm,imm,fp32,128,0.4954,0.2106,shuffle
VPERMILPS,ymm,imm,fp32,256,0.4956,0.2104,shuffle
VPERMILPD,xmm,imm,fp64,128,0.5004,0.2120,shuffle
VPERMILPD,ymm,imm,fp64,256,0.4956,0.2107,shuffle
VPERM2F128,ymm,ymm,imm,fp32,256,1.4863,0.2479,shuffle
VINSERTF128,ymm,xmm,imm,fp32,256,0.4960,0.2478,shuffle
VEXTRACTF128,ymm,xmm,imm,fp32,256,1.9825,0.2479,shuffle
VBROADCASTSS,xmm,fp32,128,0.4958,0.2107,shuffle
VBROADCASTSS,ymm,fp32,256,1.1683,0.2482,shuffle
VBROADCASTSD,ymm,fp64,256,0.9910,0.2480,shuffle
VBLENDPS,xmm,xmm,imm,fp32,128,0.4960,0.1243,shuffle
VBLENDPS,ymm,ymm,imm,fp32,256,0.4963,0.1242,shuffle
VBLENDPD,xmm,xmm,imm,fp64,128,0.5096,0.2487,shuffle
VBLENDPD,ymm,ymm,imm,fp64,256,0.4967,0.2489,shuffle
VBLENDVPS,xmm,xmm,xmm,fp32,128,0.4973,0.2484,shuffle
VBLENDVPS,ymm,ymm,ymm,fp32,256,0.4975,0.2491,shuffle
VBLENDVPD,xmm,xmm,xmm,fp64,128,0.4971,0.2487,shuffle
VBLENDVPD,ymm,ymm,ymm,fp64,256,0.4977,0.2486,shuffle
VMOVMSKPS,r32,xmm,fp32,128,-1.0000,0.5745,move
VMOVMSKPD,r32,xmm,fp64,128,-1.0000,0.5747,move
VANDPS,xmm,xmm,fp32,128,0.4975,0.1245,bitwise
VANDPS,ymm,ymm,fp32,256,0.5075,0.1256,bitwise
VANDPD,xmm,xmm,fp64,128,0.5010,0.1255,bitwise
VANDPD,ymm,ymm,fp64,256,0.5004,0.1253,bitwise
VANDNPS,xmm,xmm,fp32,128,0.5010,0.1255,bitwise
VANDNPS,ymm,ymm,fp32,256,0.5006,0.1255,bitwise
VANDNPD,xmm,xmm,fp64,128,0.5006,0.1253,bitwise
VANDNPD,ymm,ymm,fp64,256,0.5015,0.1256,bitwise
VORPS,xmm,xmm,fp32,128,0.5015,0.1256,bitwise
VORPS,ymm,ymm,fp32,256,0.5008,0.1251,bitwise
VORPD,xmm,xmm,fp64,128,0.5012,0.1255,bitwise
VORPD,ymm,ymm,fp64,256,0.5015,0.1253,bitwise
VXORPS,xmm,xmm,fp32,128,0.5004,0.1257,bitwise
VXORPS,ymm,ymm,fp32,256,0.5010,0.1255,bitwise
VXORPD,xmm,xmm,fp64,128,0.5008,0.1254,bitwise
VXORPD,ymm,ymm,fp64,256,0.5019,0.1255,bitwise
VCVTPS2PD,xmm,fp32,128,1.5175,0.2507,convert
VCVTPS2PD,xmm->ymm,fp32,256,-1.0000,0.3333,convert
VCVTPD2PS,xmm,fp64,128,1.5010,0.2503,convert
VCVTPD2PS,ymm->xmm,fp64,256,-1.0000,0.4267,convert
VCVTDQ2PS,xmm,i32,128,1.5023,0.2504,convert
VCVTDQ2PS,ymm,i32,256,1.9387,0.2556,convert
VCVTPS2DQ,xmm,fp32,128,1.5188,0.2532,convert
VCVTPS2DQ,ymm,fp32,256,1.5121,0.2518,convert
VCVTTPS2DQ,xmm,fp32,128,1.5115,0.2520,convert
VCVTTPS2DQ,ymm,fp32,256,1.6965,0.2520,convert
VCVTPD2DQ,xmm,fp64,128,1.5119,0.2520,convert
VCVTTPD2DQ,xmm,fp64,128,1.5256,0.2520,convert
VCVTDQ2PD,xmm,i32,128,1.5110,0.2524,convert
VCVTSI2SS,r64->xmm,fp32,128,-1.0000,0.7269,convert
VCVTSI2SD,r64->xmm,fp64,128,-1.0000,0.5434,convert
VCVTSS2SI,xmm->r64,fp32,128,-1.0000,0.5040,convert
VCVTSD2SI,xmm->r64,fp64,128,-1.0000,0.5038,convert
VCVTPH2PS,xmm,fp16,128,1.5110,0.2523,convert
VCVTPH2PS,xmm->ymm,fp16,256,-1.0000,0.3362,convert
VCVTPS2PH,xmm,fp32,128,1.5125,0.2525,convert
VCVTPS2PH,ymm->xmm,fp32,256,-1.0000,0.4294,convert
VPTEST,xmm,xmm,i128,128,-1.0000,0.5273,misc
VPTEST,ymm,ymm,i256,256,-1.0000,0.5042,misc
VZEROUPPER,,n/a,256,-1.0000,0.5034,misc
