mnemonic,operands,extension,latency_cycles,throughput_cycles,category
MOVD,mm,r32/r32,mm,MMX,1.6827,0.5779,mmx_move
PCMPISTRI,xmm,xmm,$4C,SSE4.2,0.9525,-1.0000,str_cmp
PCMPISTRM,xmm,xmm,$0C,SSE4.2,1.0788,0.0900,str_cmp
PCMPISTRM,xmm,xmm,$4C,SSE4.2,0.9572,-1.0000,str_cmp
CRC32,r32,r8,SSE4.2,1.4365,0.4787,crc
CRC32,r32,r16,SSE4.2,1.4357,0.4918,crc
CRC32,r32,r32,SSE4.2,1.4354,0.4785,crc
CRC32,r64,r64,SSE4.2,1.4369,0.4921,crc
DPPD,xmm,xmm,$31,SSE4.1,3.4018,1.4492,fp_dot
DPPD,xmm,xmm,$33,SSE4.1,3.3646,1.4296,fp_dot
PSIGNB,xmm,xmm,SSSE3,0.9782,0.2675,ssse3_sign
PSIGNW,xmm,xmm,SSSE3,0.9606,0.2392,ssse3_sign
PSIGND,xmm,xmm,SSSE3,0.9538,0.2452,ssse3_sign
PABSB,xmm,xmm,SSSE3,0.0000,0.2395,ssse3_abs
PABSW,xmm,xmm,SSSE3,0.0000,0.2395,ssse3_abs
PABSD,xmm,xmm,SSSE3,0.0001,0.2393,ssse3_abs
PHMINPOSUW,xmm,xmm,SSE4.1,1.4626,0.2394,sse41_hmin
VFMADDSUBPS,ymm,ymm,ymm,FMA,1.9317,0.2564,fma_addsub
VFMADDSUBPD,ymm,ymm,ymm,FMA,1.9168,0.2568,fma_addsub
VFMSUBADDPS,ymm,ymm,ymm,FMA,2.0002,0.2564,fma_addsub
VFMSUBADDPD,ymm,ymm,ymm,FMA,1.9141,0.2568,fma_addsub
VFMSUBPS,ymm,ymm,ymm,FMA,0.0000,0.2564,fma_sub
VFMSUBPD,ymm,ymm,ymm,FMA,0.0001,0.2564,fma_sub
VFNMADDPS,ymm,ymm,ymm,FMA,1.9534,0.2565,fma_neg
VFNMADDPD,ymm,ymm,ymm,FMA,1.9279,0.2559,fma_neg
VFNMSUBPS,ymm,ymm,ymm,FMA,0.0000,0.2643,fma_neg
VFNMSUBPD,ymm,ymm,ymm,FMA,0.0001,0.2559,fma_neg
VFMSUBSS,xmm,xmm,xmm,FMA,2.0267,0.3745,fma_scalar
VFMSUBSD,xmm,xmm,xmm,FMA,1.9630,0.3731,fma_scalar
ADDPS,xmm,xmm(legacy),legacy,1.4526,1.4625,vex_cmp
VADDPS,xmm,xmm(VEX),VEX,1.4777,0.2420,vex_cmp
MULPS,xmm,xmm(legacy),legacy,1.4499,1.4819,vex_cmp
VMULPS,xmm,xmm(VEX),VEX,1.4533,0.2397,vex_cmp
PADDD,xmm,xmm(legacy),legacy,0.4794,0.4793,vex_cmp
VPADDD,xmm,xmm(VEX),VEX,0.5049,0.1267,vex_cmp
PMULLW,xmm,xmm(legacy),legacy,1.4299,1.4384,vex_cmp
VPMULLW,xmm,xmm(VEX),VEX,1.4734,0.2419,vex_cmp
