probe=simd_int_exhaustive
iterations=30000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring SIMD integer instruction forms (XMM + YMM)...

mnemonic,operands,width_bits,latency_cycles,throughput_cycles,category
PMAXUD,xmm,xmm,128,0.0004,0.1211,arith_minmax
PMAXUD,ymm,ymm,256,0.0002,0.1210,arith_minmax
PAND,xmm,xmm,128,0.0004,0.1211,logic
PAND,ymm,ymm,256,0.0004,0.1210,logic
PANDN,xmm,xmm,128,0.0002,0.1211,logic
PANDN,ymm,ymm,256,0.0002,0.1211,logic
POR,xmm,xmm,128,0.0002,0.1208,logic
POR,ymm,ymm,256,0.0002,0.1211,logic
PXOR,xmm,xmm,128,0.0004,0.1211,logic
PXOR,ymm,ymm,256,0.0002,0.1210,logic
PSLLW,xmm,imm,128,0.0158,0.1211,shift_imm
PSLLW,ymm,imm,256,0.0158,0.1212,shift_imm
PSLLD,xmm,imm,128,0.0160,0.1211,shift_imm
PSLLD,ymm,imm,256,0.0158,0.1211,shift_imm
PSLLQ,xmm,imm,128,0.0158,0.1210,shift_imm
PSLLQ,ymm,imm,256,0.0158,0.1211,shift_imm
PSRLW,xmm,imm,128,0.0158,0.2417,shift_imm
PSRLW,ymm,imm,256,0.0158,0.2418,shift_imm
PSRLD,xmm,imm,128,0.0158,0.2418,shift_imm
PSRLD,ymm,imm,256,0.0158,0.2418,shift_imm
PSRLQ,xmm,imm,128,0.0158,1.0658,shift_imm
PSRLQ,ymm,imm,256,0.0160,0.2433,shift_imm
PSRAW,xmm,imm,128,0.0158,0.2423,shift_imm
PSRAW,ymm,imm,256,0.0160,0.2425,shift_imm
PSRAD,xmm,imm,128,0.0158,0.2420,shift_imm
PSRAD,ymm,imm,256,0.0158,0.2420,shift_imm
PSLLW,xmm,xmm(cnt),128,0.0156,0.1210,shift_reg
PSLLW,ymm,xmm(cnt),256,0.0160,0.1597,shift_reg
PSLLD,xmm,xmm(cnt),128,0.0200,0.1222,shift_reg
PSLLQ,xmm,xmm(cnt),128,0.0158,0.1222,shift_reg
PSRLW,xmm,xmm(cnt),128,0.0004,0.2441,shift_reg
PSRLD,xmm,xmm(cnt),128,0.0002,0.2441,shift_reg
PSRLQ,xmm,xmm(cnt),128,0.0004,0.2442,shift_reg
PSRAW,xmm,xmm(cnt),128,0.0004,0.2441,shift_reg
PSRAD,xmm,xmm(cnt),128,0.0002,0.2441,shift_reg
VPSLLVD,xmm,xmm,xmm,128,0.0160,0.1223,shift_var
VPSLLVD,ymm,ymm,ymm,256,0.0160,0.1221,shift_var
VPSLLVQ,xmm,xmm,xmm,128,0.0160,0.1222,shift_var
VPSLLVQ,ymm,ymm,ymm,256,0.0160,0.1223,shift_var
VPSRLVD,xmm,xmm,xmm,128,0.0002,0.2441,shift_var
VPSRLVD,ymm,ymm,ymm,256,0.0004,0.2441,shift_var
VPSRLVQ,xmm,xmm,xmm,128,0.0004,0.2442,shift_var
VPSRLVQ,ymm,ymm,ymm,256,0.0002,0.2442,shift_var
VPSRAVD,xmm,xmm,xmm,128,0.0004,0.2443,shift_var
VPSRAVD,ymm,ymm,ymm,256,0.0004,0.2442,shift_var
PCMPEQB,xmm,xmm,128,0.0002,0.1224,compare
PCMPEQB,ymm,ymm,256,0.0002,0.1224,compare
PCMPEQW,xmm,xmm,128,0.0002,0.1222,compare
PCMPEQW,ymm,ymm,256,0.0004,0.1225,compare
PCMPEQD,xmm,xmm,128,0.0002,0.1224,compare
PCMPEQD,ymm,ymm,256,0.0002,0.1225,compare
PCMPEQQ,xmm,xmm,128,0.0004,0.2445,compare
PCMPEQQ,ymm,ymm,256,0.0004,0.2446,compare
PCMPGTB,xmm,xmm,128,0.0002,0.1225,compare
PCMPGTB,ymm,ymm,256,0.0002,0.1223,compare
PCMPGTW,xmm,xmm,128,0.0002,0.1221,compare
PCMPGTW,ymm,ymm,256,0.0004,0.1223,compare
PCMPGTD,xmm,xmm,128,0.0002,0.1224,compare
PCMPGTD,ymm,ymm,256,0.0004,0.1228,compare
PCMPGTQ,xmm,xmm,128,0.0002,0.2443,compare
PCMPGTQ,ymm,ymm,256,0.0002,0.2445,compare
PSHUFB,xmm,xmm,128,0.0002,0.2445,shuffle
PSHUFB,ymm,ymm,256,0.0310,0.2442,shuffle
PSHUFD,xmm,xmm,imm,128,0.0004,0.1961,shuffle
PSHUFD,ymm,ymm,imm,256,0.0002,0.2075,shuffle
PSHUFHW,xmm,xmm,imm,128,0.0002,0.1959,shuffle
PSHUFHW,ymm,ymm,imm,256,0.0004,0.2083,shuffle
PSHUFLW,xmm,xmm,imm,128,0.0004,0.2078,shuffle
PSHUFLW,ymm,ymm,imm,256,0.0002,0.1957,shuffle
VPERMD,ymm,ymm,ymm,256,0.0002,0.2446,shuffle
VPERM2I128,ymm,ymm,ymm,imm,256,0.0002,0.2444,shuffle
PALIGNR,xmm,xmm,imm,128,0.0002,0.3386,shuffle
PALIGNR,ymm,ymm,imm,256,0.0004,0.2447,shuffle
PUNPCKLBW,xmm,xmm,128,0.0817,0.1959,unpack
PUNPCKLBW,ymm,ymm,256,0.1985,0.2077,unpack
PUNPCKHBW,xmm,xmm,128,0.0158,0.1957,unpack
PUNPCKHBW,ymm,ymm,256,0.0160,0.2075,unpack
PUNPCKLWD,xmm,xmm,128,0.0565,0.2077,unpack
PUNPCKLWD,ymm,ymm,256,0.1373,0.1954,unpack
PUNPCKHWD,xmm,xmm,128,0.0004,0.1953,unpack
PUNPCKHWD,ymm,ymm,256,0.0002,0.2075,unpack
PUNPCKLDQ,xmm,xmm,128,0.0396,0.2075,unpack
PUNPCKLDQ,ymm,ymm,256,0.0160,0.2074,unpack
PUNPCKHDQ,xmm,xmm,128,0.0002,0.2075,unpack
PUNPCKHDQ,ymm,ymm,256,0.0002,0.1954,unpack
PUNPCKLQDQ,xmm,xmm,128,0.0288,0.4879,unpack
PUNPCKLQDQ,ymm,ymm,256,0.0160,0.1954,unpack
PUNPCKHQDQ,xmm,xmm,128,0.0002,0.1952,unpack
PUNPCKHQDQ,ymm,ymm,256,0.0002,0.2076,unpack
PACKUSWB,xmm,xmm,128,0.9756,0.2441,pack
PACKUSWB,ymm,ymm,256,0.9758,0.2441,pack
PACKSSWB,xmm,xmm,128,0.9760,0.2441,pack
PACKSSWB,ymm,ymm,256,0.9758,0.2441,pack
PACKUSDW,xmm,xmm,128,0.9760,0.2440,pack
PACKUSDW,ymm,ymm,256,0.9758,0.2441,pack
PACKSSDW,xmm,xmm,128,0.9756,0.2442,pack
PACKSSDW,ymm,ymm,256,0.9756,0.2441,pack
MOVD,xmm<->r32,128,0.0002,0.1223,move
MOVQ,xmm<->r64,128,0.0004,-1.0000,move
PEXTRB,r32,xmm,imm,128,-1.0000,0.2709,move
PEXTRW,r32,xmm,imm,128,-1.0000,0.3742,move
PEXTRD,r32,xmm,imm,128,-1.0000,0.4667,move
PEXTRQ,r64,xmm,imm,128,-1.0000,0.3811,move
VPBROADCASTD,xmm,128,-1.0000,0.0918,move
VPBROADCASTD,ymm,256,-1.0000,0.1222,move
VPBROADCASTQ,xmm,128,-1.0000,0.0918,move
VPBROADCASTQ,ymm,256,-1.0000,0.1222,move
VPGATHERDD,xmm,[base+xmm*4],128,-1.0000,2.4398,gather
VPGATHERDD,ymm,[base+ymm*4],256,-1.0000,3.9033,gather
VPGATHERDQ,xmm,[base+xmm*8],128,-1.0000,1.9517,gather
VPGATHERDQ,ymm,[base+xmm*8],256,-1.0000,2.4396,gather
PMOVZXBW,xmm,xmm,128,0.0158,0.2441,convert
PMOVZXBW,ymm,xmm,256,0.9762,0.2441,convert
PMOVZXBD,xmm,xmm,128,0.0160,0.2440,convert
PMOVZXBQ,xmm,xmm,128,0.0158,0.2442,convert
PMOVZXWD,xmm,xmm,128,0.0158,0.2441,convert
PMOVZXWD,ymm,xmm,256,0.9756,0.2442,convert
PMOVZXWQ,xmm,xmm,128,0.0160,0.2441,convert
PMOVZXDQ,xmm,xmm,128,0.0158,0.3315,convert
PMOVZXDQ,ymm,xmm,256,0.0158,0.2441,convert
PMOVSXBW,xmm,xmm,128,0.9758,0.2443,convert
PMOVSXBW,ymm,xmm,256,0.9758,0.2442,convert
PMOVSXBD,xmm,xmm,128,0.0615,0.2442,convert
PMOVSXBQ,xmm,xmm,128,0.0615,0.2442,convert
PMOVSXWD,xmm,xmm,128,0.9758,0.2442,convert
PMOVSXWD,ymm,xmm,256,0.9758,0.2442,convert
PMOVSXWQ,xmm,xmm,128,0.0615,0.2443,convert
PMOVSXDQ,xmm,xmm,128,0.0615,0.2441,convert
PMOVSXDQ,ymm,xmm,256,0.0615,0.2441,convert
