binary,source,mnemonic,count
sm_apple_cpu_latency_O3,objdump,fmadd,64
sm_apple_cpu_latency_O3,objdump,fmov,32
sm_apple_cpu_latency_O3,objdump,fmul,10
sm_apple_cpu_latency_O3,objdump,ldp,48
sm_apple_cpu_latency_O3,objdump,ldr,66
sm_apple_cpu_latency_O3,objdump,ldur,1
sm_apple_cpu_latency_O3,objdump,lsl,1
sm_apple_cpu_latency_O3,objdump,lsr,1
sm_apple_cpu_latency_O3,objdump,mov,181
sm_apple_cpu_latency_O3,objdump,movi,28
sm_apple_cpu_latency_O3,objdump,movk,30
sm_apple_cpu_latency_O3,objdump,mul,20
sm_apple_cpu_latency_O3,objdump,orr,1
sm_apple_cpu_latency_O3,objdump,ret,5
sm_apple_cpu_latency_O3,objdump,rev,1
sm_apple_cpu_latency_O3,objdump,ror,32
sm_apple_cpu_latency_O3,objdump,sbfiz,2
sm_apple_cpu_latency_O3,objdump,stp,97
sm_apple_cpu_latency_O3,objdump,str,79
sm_apple_cpu_latency_O3,objdump,stur,1
sm_apple_cpu_latency_O3,objdump,sub,12
sm_apple_cpu_latency_O3,objdump,subs,9
sm_apple_cpu_latency_O3,objdump,sxtw,1
sm_apple_cpu_latency_O3,objdump,tbnz,7
sm_apple_cpu_latency_O3,objdump,tbz,13
sm_apple_cpu_latency_O3,objdump,ucvtf,21
sm_apple_cpu_latency_O3,objdump,udiv,20
sm_apple_cpu_latency_O3,otool,add,250
sm_apple_cpu_latency_O3,otool,adrp,119
sm_apple_cpu_latency_O3,otool,and,2
sm_apple_cpu_latency_O3,otool,b,29
sm_apple_cpu_latency_O3,otool,b.eq,6
sm_apple_cpu_latency_O3,otool,b.ge,2
sm_apple_cpu_latency_O3,otool,b.le,14
sm_apple_cpu_latency_O3,otool,b.lt,7
sm_apple_cpu_latency_O3,otool,b.ne,18
sm_apple_cpu_latency_O3,otool,bl,104
sm_apple_cpu_latency_O3,otool,cbnz,37
sm_apple_cpu_latency_O3,otool,cbz,31
sm_apple_cpu_latency_O3,otool,ccmp,4
sm_apple_cpu_latency_O3,otool,cmp,25
sm_apple_cpu_latency_O3,otool,cset,1
sm_apple_cpu_latency_O3,otool,eor,35
sm_apple_cpu_latency_O3,otool,fadd,72
sm_apple_cpu_latency_O3,otool,fcmp,14
sm_apple_cpu_latency_O3,otool,fdiv,28
sm_apple_cpu_latency_O3,otool,fmadd,64
sm_apple_cpu_latency_O3,otool,fmov,32
sm_apple_cpu_latency_O3,otool,fmul,10
sm_apple_cpu_latency_O3,otool,ldadd,32
sm_apple_cpu_latency_O3,otool,ldp,48
sm_apple_cpu_latency_O3,otool,ldr,66
sm_apple_cpu_latency_O3,otool,ldur,1
sm_apple_cpu_latency_O3,otool,lsl,1
sm_apple_cpu_latency_O3,otool,lsr,1
sm_apple_cpu_latency_O3,otool,mov,181
sm_apple_cpu_latency_O3,otool,movi,28
sm_apple_cpu_latency_O3,otool,movk,30
sm_apple_cpu_latency_O3,otool,mul,20
sm_apple_cpu_latency_O3,otool,orr,1
sm_apple_cpu_latency_O3,otool,ret,5
sm_apple_cpu_latency_O3,otool,rev,1
sm_apple_cpu_latency_O3,otool,ror,32
sm_apple_cpu_latency_O3,otool,sbfiz,2
sm_apple_cpu_latency_O3,otool,stp,97
sm_apple_cpu_latency_O3,otool,str,79
sm_apple_cpu_latency_O3,otool,stur,1
sm_apple_cpu_latency_O3,otool,sub,12
sm_apple_cpu_latency_O3,otool,subs,9
sm_apple_cpu_latency_O3,otool,sxtw,1
sm_apple_cpu_latency_O3,otool,tbnz,7
sm_apple_cpu_latency_O3,otool,tbz,13
sm_apple_cpu_latency_O3,otool,ucvtf,21
sm_apple_cpu_latency_O3,otool,udiv,20
sm_apple_cpu_latency_Ofast,objdump,.long,32
sm_apple_cpu_latency_Ofast,objdump,add,248
sm_apple_cpu_latency_Ofast,objdump,adrp,118
sm_apple_cpu_latency_Ofast,objdump,and,2
sm_apple_cpu_latency_Ofast,objdump,b,28
sm_apple_cpu_latency_Ofast,objdump,b.eq,6
sm_apple_cpu_latency_Ofast,objdump,b.ge,3
sm_apple_cpu_latency_Ofast,objdump,b.le,14
sm_apple_cpu_latency_Ofast,objdump,b.lt,5
sm_apple_cpu_latency_Ofast,objdump,b.ne,18
sm_apple_cpu_latency_Ofast,objdump,bl,103
sm_apple_cpu_latency_Ofast,objdump,cbnz,37
sm_apple_cpu_latency_Ofast,objdump,cbz,31
sm_apple_cpu_latency_Ofast,objdump,ccmp,4
sm_apple_cpu_latency_Ofast,objdump,cmp,24
sm_apple_cpu_latency_Ofast,objdump,cset,1
sm_apple_cpu_latency_Ofast,objdump,eor,35
sm_apple_cpu_latency_Ofast,objdump,fadd,72
sm_apple_cpu_latency_Ofast,objdump,fcmp,14
sm_apple_cpu_latency_Ofast,objdump,fdiv,28
sm_apple_cpu_latency_Ofast,objdump,fmadd,64
sm_apple_cpu_latency_Ofast,objdump,fmov,32
sm_apple_cpu_latency_Ofast,objdump,fmul,10
sm_apple_cpu_latency_Ofast,objdump,ldp,48
sm_apple_cpu_latency_Ofast,objdump,ldr,65
sm_apple_cpu_latency_Ofast,objdump,ldur,1
sm_apple_cpu_latency_Ofast,objdump,lsl,1
sm_apple_cpu_latency_Ofast,objdump,lsr,1
sm_apple_cpu_latency_Ofast,objdump,mov,172
sm_apple_cpu_latency_Ofast,objdump,movi,28
sm_apple_cpu_latency_Ofast,objdump,movk,31
sm_apple_cpu_latency_Ofast,objdump,mul,20
sm_apple_cpu_latency_Ofast,objdump,orr,1
sm_apple_cpu_latency_Ofast,objdump,ret,5
sm_apple_cpu_latency_Ofast,objdump,rev,1
sm_apple_cpu_latency_Ofast,objdump,ror,32
sm_apple_cpu_latency_Ofast,objdump,sbfiz,2
sm_apple_cpu_latency_Ofast,objdump,stp,97
sm_apple_cpu_latency_Ofast,objdump,str,81
sm_apple_cpu_latency_Ofast,objdump,stur,1
sm_apple_cpu_latency_Ofast,objdump,sub,12
sm_apple_cpu_latency_Ofast,objdump,subs,9
sm_apple_cpu_latency_Ofast,objdump,sxtw,1
sm_apple_cpu_latency_Ofast,objdump,tbnz,6
sm_apple_cpu_latency_Ofast,objdump,tbz,14
sm_apple_cpu_latency_Ofast,objdump,ucvtf,22
sm_apple_cpu_latency_Ofast,objdump,udiv,20
sm_apple_cpu_latency_Ofast,otool,add,248
sm_apple_cpu_latency_Ofast,otool,adrp,118
sm_apple_cpu_latency_Ofast,otool,and,2
sm_apple_cpu_latency_Ofast,otool,b,28
sm_apple_cpu_latency_Ofast,otool,b.eq,6
sm_apple_cpu_latency_Ofast,otool,b.ge,3
sm_apple_cpu_latency_Ofast,otool,b.le,14
sm_apple_cpu_latency_Ofast,otool,b.lt,5
sm_apple_cpu_latency_Ofast,otool,b.ne,18
sm_apple_cpu_latency_Ofast,otool,bl,103
sm_apple_cpu_latency_Ofast,otool,cbnz,37
sm_apple_cpu_latency_Ofast,otool,cbz,31
sm_apple_cpu_latency_Ofast,otool,ccmp,4
sm_apple_cpu_latency_Ofast,otool,cmp,24
sm_apple_cpu_latency_Ofast,otool,cset,1
sm_apple_cpu_latency_Ofast,otool,eor,35
sm_apple_cpu_latency_Ofast,otool,fadd,72
sm_apple_cpu_latency_Ofast,otool,fcmp,14
sm_apple_cpu_latency_Ofast,otool,fdiv,28
sm_apple_cpu_latency_Ofast,otool,fmadd,64
sm_apple_cpu_latency_Ofast,otool,fmov,32
sm_apple_cpu_latency_Ofast,otool,fmul,10
sm_apple_cpu_latency_Ofast,otool,ldadd,32
sm_apple_cpu_latency_Ofast,otool,ldp,48
sm_apple_cpu_latency_Ofast,otool,ldr,65
sm_apple_cpu_latency_Ofast,otool,ldur,1
sm_apple_cpu_latency_Ofast,otool,lsl,1
sm_apple_cpu_latency_Ofast,otool,lsr,1
sm_apple_cpu_latency_Ofast,otool,mov,172
sm_apple_cpu_latency_Ofast,otool,movi,28
sm_apple_cpu_latency_Ofast,otool,movk,31
sm_apple_cpu_latency_Ofast,otool,mul,20
sm_apple_cpu_latency_Ofast,otool,orr,1
sm_apple_cpu_latency_Ofast,otool,ret,5
sm_apple_cpu_latency_Ofast,otool,rev,1
sm_apple_cpu_latency_Ofast,otool,ror,32
sm_apple_cpu_latency_Ofast,otool,sbfiz,2
sm_apple_cpu_latency_Ofast,otool,stp,97
sm_apple_cpu_latency_Ofast,otool,str,81
sm_apple_cpu_latency_Ofast,otool,stur,1
sm_apple_cpu_latency_Ofast,otool,sub,12
sm_apple_cpu_latency_Ofast,otool,subs,9
sm_apple_cpu_latency_Ofast,otool,sxtw,1
sm_apple_cpu_latency_Ofast,otool,tbnz,6
sm_apple_cpu_latency_Ofast,otool,tbz,14
sm_apple_cpu_latency_Ofast,otool,ucvtf,22
sm_apple_cpu_latency_Ofast,otool,udiv,20
